horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_total_sse_reduction
osi_target_t01h,v18_rule,39039,Defiance County,0,143,0.009506962278618549,0.0051539525253214355,0.012924673442691867,-0.004947130359977086,0.009506962278618549,0.0051539525253214355,0.012924673442691867,-0.004947130359977086,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18133,Putnam County,1,143,0.0015674019197379403,0.0006162204507798748,0.00035131507525373986,-1.0425360649486066e-05,0.0015674019197379403,0.0006162204507798748,0.00035131507525373986,-1.0425360649486066e-05,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18143,Scott County,1,143,0.0035490004817323416,0.0015809924532568047,0.0018011428319651044,-0.0011131921427249662,0.0035490004817323416,0.0015809924532568047,0.0018011428319651044,-0.0011131921427249662,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18145,Shelby County,2,143,0.0013508281410150897,0.000528283786047104,0.0002609373433178345,-7.436336133528069e-05,0.0013508281410150897,0.000528283786047104,0.0002609373433178345,-7.436336133528069e-05,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18137,Ripley County,4,143,0.003665116648324083,0.0013362339655886672,0.0019209304465525976,-6.165807714509786e-05,0.003665116648324083,0.0013362339655886672,0.0019209304465525976,-6.165807714509786e-05,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18135,Randolph County,2,143,0.0031847493280756194,0.0019457754412354814,0.0014503958444229694,0.00125935461425685,0.0031847493280756194,0.0019457754412354814,0.0014503958444229694,0.00125935461425685,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18151,Steuben County,4,143,0.011029083517480663,0.008433513309001895,0.0173946177026856,-0.008395372588554939,0.011029083517480663,0.008433513309001895,0.0173946177026856,-0.008395372588554939,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18153,Sullivan County,1,143,0.0022009307650151686,0.0010349136076777427,0.0006927057612318066,0.0007320427803732649,0.0022009307650151686,0.0010349136076777427,0.0006927057612318066,0.0007320427803732649,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18155,Switzerland County,1,143,0.004303524646819408,0.001626910470874389,0.002648406387166842,0.0015499873939513122,0.004303524646819408,0.001626910470874389,0.002648406387166842,0.0015499873939513122,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18157,Tippecanoe County,3,143,0.0010940189204001174,0.00044017805267619636,0.00017115346794166172,0.00038563259813074183,0.0010940189204001174,0.00044017805267619636,0.00017115346794166172,0.00038563259813074183,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18159,Tipton County,3,143,0.00421918818334608,0.001372341589539708,0.002545621496487669,0.00035199745002782246,0.00421918818334608,0.001372341589539708,0.002545621496487669,0.00035199745002782246,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18163,Vanderburgh County,0,143,0.0008555933863448109,0.0003452730089279182,0.00010468172611424827,0.0002162398525344441,0.0008555933863448109,0.0003452730089279182,0.00010468172611424827,0.0002162398525344441,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18147,Spencer County,0,143,0.0017162182668286306,0.00066814263527829,0.0004211929349336665,0.0006639468310824858,0.0017162182668286306,0.00066814263527829,0.0004211929349336665,0.0006639468310824858,0.0,0.0,0.0,0,0.0
osi_target_t01h,v18_rule,18139,Rush County,2,143,0.0029666502170760554,0.0008921781235343701,0.001258544931998269,-0.0004026182054831994,0.0029666502170760554,0.0008921781235343701,0.001258544931998269,-0.0004026182054831994,0.0,0.0,0.0,0,0.0
