alpha,rmse,mae,joint,horizon,fold
0.05,0.008509595276163875,0.0030230841317455616,0.011532679407909436,osi_target_t24h,global
0.1,0.008512435750781788,0.0030145463561404556,0.011526982106922243,osi_target_t24h,global
0.2,0.008527564317070666,0.003000033408241193,0.01152759772531186,osi_target_t24h,global
0.35,0.008573756732960675,0.002984168352447948,0.011557925085408623,osi_target_t24h,global
0.5,0.008647585302336858,0.0029745201581418018,0.01162210546047866,osi_target_t24h,global
0.75,0.008829103147008532,0.00298045249183413,0.011809555638842662,osi_target_t24h,global
1.0,0.009077647893027988,0.0030155992274805772,0.012093247120508565,osi_target_t24h,global
0.0,0.0037759833099087715,0.0017031974219129903,0.005479180731821761,osi_target_t48h,0
0.05,0.0037753190175509,0.001701608074069471,0.0054769270916203705,osi_target_t48h,0
0.1,0.003774977058362685,0.0017004710313249815,0.005475448089687666,osi_target_t48h,0
0.2,0.003775238459126759,0.0016991978261744955,0.005474436285301254,osi_target_t48h,0
0.35,0.0037779642200946326,0.0016991068361600788,0.005477071056254711,osi_target_t48h,0
0.5,0.003783437013921446,0.0017013183526838214,0.005484755366605268,osi_target_t48h,0
0.75,0.003798503516922931,0.0017095800550483134,0.005508083571971244,osi_target_t48h,0
1.0,0.003820846744953638,0.001723677528168876,0.0055445242731225145,osi_target_t48h,0
0.0,0.005750744927785247,0.002261406793545755,0.008012151721331002,osi_target_t48h,1
0.05,0.005759169587025232,0.0022480879384665768,0.008007257525491808,osi_target_t48h,1
0.1,0.005768682688931771,0.002235256311900253,0.008003939000832024,osi_target_t48h,1
0.2,0.005790952150544729,0.002211482325904557,0.008002434476449286,osi_target_t48h,1
0.35,0.005832298133798689,0.002183302578922305,0.008015600712720995,osi_target_t48h,1
0.5,0.005882390617063421,0.0021664811202781664,0.008048871737341586,osi_target_t48h,1
0.75,0.005981676332838516,0.0021715589990798697,0.008153235331918387,osi_target_t48h,1
1.0,0.006097879392991831,0.0022041135894621355,0.008301992982453966,osi_target_t48h,1
0.0,0.013229488974857406,0.00331859800867442,0.016548086983531825,osi_target_t48h,2
0.05,0.013233056350958958,0.003338165931088483,0.01657122228204744,osi_target_t48h,2
0.1,0.013238571884708913,0.0033624821986095754,0.016601054083318488,osi_target_t48h,2
0.2,0.01325545330342222,0.0034181552657990663,0.016673608569221288,osi_target_t48h,2
0.35,0.013295246536030144,0.0035079141601900396,0.016803160696220183,osi_target_t48h,2
0.5,0.013352215041176677,0.003602300195904785,0.016954515237081462,osi_target_t48h,2
0.75,0.013484073564689988,0.003769994267625934,0.017254067832315922,osi_target_t48h,2
1.0,0.013660579773862092,0.003945837547967255,0.017606417321829347,osi_target_t48h,2
0.0,0.005119529294217776,0.0024121047366642127,0.0075316340308819885,osi_target_t48h,3
0.05,0.005113502383104954,0.0023852494251543634,0.007498751808259317,osi_target_t48h,3
0.1,0.005109496500481891,0.0023591365540413115,0.0074686330545232025,osi_target_t48h,3
0.2,0.005107551837922055,0.002309813174731636,0.007417365012653691,osi_target_t48h,3
0.35,0.005119222151385681,0.0022485589777615864,0.007367781129147268,osi_target_t48h,3
0.5,0.005147683871712701,0.0022041557526466127,0.007351839624359314,osi_target_t48h,3
0.75,0.005229514833032864,0.0021746560266008596,0.007404170859633723,osi_target_t48h,3
1.0,0.005347031125245915,0.002187827801714051,0.0075348589269599656,osi_target_t48h,3
0.0,0.0070498953678685885,0.002195893907436101,0.00924578927530469,osi_target_t48h,4
0.05,0.0070526601789532035,0.002195768179958103,0.009248428358911306,osi_target_t48h,4
0.1,0.007055528583329321,0.002196252298789906,0.009251780882119226,osi_target_t48h,4
0.2,0.007061535502142735,0.002198545669508228,0.009260081171650964,osi_target_t48h,4
0.35,0.007071244817994339,0.002204082021875711,0.009275326839870049,osi_target_t48h,4
0.5,0.007081820713785791,0.002211265326001014,0.009293086039786805,osi_target_t48h,4
0.75,0.007101061930462287,0.00222687535962147,0.009327937290083757,osi_target_t48h,4
1.0,0.007122497644638958,0.0022466545641264104,0.009369152208765368,osi_target_t48h,4
0.0,0.00773065564238737,0.0023787290162412605,0.01010938465862863,osi_target_t48h,global
0.05,0.007732755130400418,0.0023743018008406244,0.010107056931241042,osi_target_t48h,global
0.1,0.007736005131245979,0.002371286471263887,0.010107291602509866,osi_target_t48h,global
0.2,0.007745944854102401,0.0023680913901914583,0.01011403624429386,osi_target_t48h,global
0.35,0.007769300046164855,0.0023693681883545786,0.010138668234519433,osi_target_t48h,global
0.5,0.007802523049432018,0.002377985417407586,0.010180508466839603,osi_target_t48h,global
0.75,0.007878450674543402,0.002411532832568157,0.01028998350711156,osi_target_t48h,global
1.0,0.00797830306065692,0.0024626996481991502,0.010441002708856069,osi_target_t48h,global
