case,horizon,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P06,osi_target_t06h,3,6624,0.01196399448383314,0.003206898799088708,0.9481405743968734,0.0004248169841716933,0.012045775156805515,-8.178067297237405e-05,-0.6789158182665456,0.013006456629071406
NB_P06,osi_target_t06h,4,6624,0.007968270451833017,0.0027440425860225733,0.4205798443733093,2.2193909915870016e-05,0.008005512595111616,-3.7242143278598885e-05,-0.46520622928430955,0.0039406038017811285
NB_P06,osi_target_t24h,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0,0.0,0.0
NB_P06,osi_target_t24h,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0,0.0,0.0
NB_P06,osi_target_t24h,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0,0.0,0.0
NB_P06,osi_target_t24h,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.0,0.0,0.0
NB_P06,osi_target_t24h,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0,0.0,0.0
NB_P06,osi_target_t48h,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
NB_P06,osi_target_t48h,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
NB_P06,osi_target_t48h,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
NB_P06,osi_target_t48h,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
NB_P06,osi_target_t48h,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
NB_P24,osi_target_t01h,0,6864,0.006479607930654,0.002632071565653388,0.2881872291698003,0.00014733745884821795,0.006508227250914973,-2.8619320260972816e-05,-0.4397406414619165,0.002551369491926525
NB_P24,osi_target_t01h,1,6721,0.009481489999115742,0.003281937606980402,0.6042088441469934,-0.0004995166999688342,0.009525203210483274,-4.3713211367531896e-05,-0.45892156210821655,0.0055840998199335745
NB_P24,osi_target_t01h,2,6864,0.01248928281901675,0.003829731767894336,1.0706617201283681,-0.0005984563187079363,0.012465721111152626,2.3561707864123288e-05,0.18901199259979684,-0.004035911964775263
NB_P24,osi_target_t01h,3,6864,0.015263495703562108,0.0035166221630284983,1.599135602700011,0.0003060833784109775,0.015274071830806878,-1.0576127244770264e-05,-0.06924235634035991,0.002216860588726277
NB_P24,osi_target_t01h,4,6864,0.008135527488850472,0.0028772292543106427,0.45430624682992127,1.92815207945942e-05,0.008161177537992413,-2.5650049141940842e-05,-0.31429348304865545,0.002869229458800193
NB_P24,osi_target_t06h,0,6624,0.006388329605056966,0.0025533194338039043,0.2703304420662205,0.00014680153290393618,0.006418405226996253,-3.0075621939286597e-05,-0.46858403101111,0.002551369491926525
NB_P24,osi_target_t06h,1,6486,0.009175530588236936,0.0031589291119314164,0.5460586851798064,-0.0004522798033117568,0.009222326615461077,-4.6796027224141334e-05,-0.5074210573467242,0.0055840998199336855
NB_P24,osi_target_t06h,2,6624,0.012539288368735009,0.003768545485905885,1.0415163785093973,-0.0007440194997599664,0.012514969699033504,2.4318669701504925e-05,0.19431664867222143,-0.004035911964775263
NB_P24,osi_target_t06h,3,6624,0.012031875504081455,0.0032402274375525875,0.9589301704372185,0.0004560699186745417,0.012045775156805515,-1.3899652724060074e-05,-0.1153902720507527,0.002216860588726277
NB_P24,osi_target_t06h,4,6624,0.007978413080888645,0.0027825707689439977,0.4216512187162903,4.779296871474965e-05,0.008005512595111616,-2.7099514222970675e-05,-0.33851066875491,0.0028692294588001377
NB_P24,osi_target_t24h,0,5760,0.0045851814325180325,0.0020526524421694164,0.12109759931006277,0.00030927361909837347,0.004722006437624519,-0.00013682500510648656,-2.8976031039745553,0.007335106720469456
NB_P24,osi_target_t24h,1,5640,0.00870754418220506,0.002810650932593464,0.4276322768636999,-0.0005143658614579066,0.008926834627565224,-0.00021929044536016414,-2.456530836619464,0.021810166415242194
NB_P24,osi_target_t24h,2,5760,0.01297325098916932,0.00381108437623181,0.9694381894731805,-0.000954410874588216,0.012860189555137309,0.00011306143403201109,0.8791583790213053,-0.016823611203379274
NB_P24,osi_target_t24h,3,5760,0.006039680323082008,0.0027556539418766286,0.21011177321293814,0.0010092013127519961,0.0061831058424843465,-0.00014342551940233882,-2.319635520661101,0.010097622456998856
NB_P24,osi_target_t24h,4,5760,0.0073615990907342655,0.0024693018439742496,0.31215249315474947,-0.00032135511036152857,0.007428758397301128,-6.715930656686284e-05,-0.9040448346154584,0.0057214664799694614
NB_P24,osi_target_t48h,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
NB_P24,osi_target_t48h,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
NB_P24,osi_target_t48h,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
NB_P24,osi_target_t48h,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.0,0.0,0.0
NB_P24,osi_target_t48h,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0,0.0,0.0
NB_P48,osi_target_t01h,0,6864,0.006501933300438893,0.0026535348207119376,0.2901765379199969,0.00019125562613888202,0.006508227250914973,-6.293950476079883e-06,-0.09670760152382663,0.0005620607417298751
NB_P48,osi_target_t01h,1,6721,0.009507272340769991,0.0032837003807391447,0.6074992760971127,-0.0005106146635339903,0.009525203210483274,-1.7930869713283365e-05,-0.18824658453007181,0.00229366786981422
NB_P48,osi_target_t01h,2,6864,0.012471807757619453,0.0038404044644380336,1.067667666732067,-0.000616485082329141,0.012465721111152626,6.086646466826884e-06,0.04882707075311021,-0.0010418585684741632
NB_P48,osi_target_t01h,3,6864,0.015273532146477422,0.0035170659408726474,1.6012393029511451,0.00031060458761567977,0.015274071830806878,-5.396843294567383e-07,-0.003533336332539605,0.00011316033759212196
NB_P48,osi_target_t01h,4,6864,0.008165913048642615,0.0028802057202015332,0.4577061809410951,-1.2490574721786537e-05,0.008161177537992413,4.7355106502014466e-06,0.058024845411774884,-0.0005307046523736481
NB_P48,osi_target_t06h,0,6624,0.0064117917537001,0.002575560343031242,0.2723197508164171,0.00019231093813991404,0.006418405226996253,-6.613473296153069e-06,-0.1030391984029988,0.0005620607417298751
NB_P48,osi_target_t06h,1,6486,0.009203133952615713,0.0031607557543046057,0.5493491171299256,-0.00046377986700608514,0.009222326615461077,-1.9192662845364875e-05,-0.20811085581363686,0.002293667869814442
NB_P48,osi_target_t06h,2,6624,0.012521252013262651,0.0037796048743533373,1.0385223251130957,-0.0007627014794544035,0.012514969699033504,6.282314229147726e-06,0.05019839744104804,-0.0010418585684737192
NB_P48,osi_target_t06h,3,6624,0.012045066033194446,0.003240687294304133,0.9610338706883527,0.00046075493980695043,0.012045775156805515,-7.091236110690763e-07,-0.005886907250363116,0.00011316033759212196
NB_P48,osi_target_t06h,4,6624,0.008010514987593805,0.0027856550778019495,0.4250511528274641,1.48697103173407e-05,0.008005512595111616,5.002392482189588e-06,0.062486847940812495,-0.0005307046523736481
NB_P48,osi_target_t24h,0,5760,0.004722006437624519,0.0021059088433387193,0.12843270603053222,0.0004342643061164664,0.004722006437624519,0.0,0.0,0.0
NB_P48,osi_target_t24h,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0,0.0,0.0
NB_P48,osi_target_t24h,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0,0.0,0.0
NB_P48,osi_target_t24h,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.0,0.0,0.0
NB_P48,osi_target_t24h,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0,0.0,0.0
NB_P48,osi_target_t48h,0,4608,0.0036405673460929394,0.0016474936207654712,0.06107319061142717,0.000525954305282589,0.0036632306388987446,-2.2663292805805233e-05,-0.6186695580985391,0.0007627535416088807
NB_P48,osi_target_t48h,1,4512,0.005659768059826094,0.0018884928964386489,0.14453278090351665,-0.00034367603170694356,0.005855181393125153,-0.00019541333329905954,-3.3374428592170324,0.010152788045035693
NB_P48,osi_target_t48h,2,4608,0.013094346898029791,0.003278219989714371,0.7900965305208225,-0.0012857651282587854,0.013066410316828946,2.793658120084537e-05,0.21380456088129218,-0.0033677204807046612
