target_kind,target,rank,feature,importance_gain,importance_fraction
direct_osi,osi_target_t06h,14,cumul_tp_since_onset,1.0797520338601316,0.011573694701561707
direct_osi,osi_target_t06h,15,osi_trend_last6h,1.0159422615979565,0.010889727642478343
direct_osi,osi_target_t06h,16,t2m_at_t6h,0.9941738240959239,0.010656395134756308
direct_osi,osi_target_t06h,17,last_N_t,0.977076419396326,0.010473130703686178
direct_osi,osi_target_t06h,18,min_t2m_next_48h,0.9723953801149037,0.010422955369136896
direct_osi,osi_target_t06h,19,last_D_t,0.9527429851150373,0.010212304393032863
direct_osi,osi_target_t06h,20,sp_t,0.6698225075597293,0.007179723643600037
direct_osi,osi_target_t06h,21,last_R_t,0.6478259992145468,0.006943946479858686
direct_osi,osi_target_t06h,22,total_tp_next_24h,0.6040791962877847,0.00647503127954769
direct_osi,osi_target_t06h,23,min_t2m_next_6h,0.5533478307988844,0.0059312496356615394
direct_osi,osi_target_t06h,24,total_tp_next_48h,0.5409102530029486,0.005797933166951159
direct_osi,osi_target_t06h,25,min_t2m_next_24h,0.5176960629978566,0.005549103862224161
direct_osi,osi_target_t06h,26,t2m_at_t24h,0.5067589878599392,0.005431871048944094
direct_osi,osi_target_t06h,27,gust_last_obs,0.4671512160639395,0.005007321481820604
direct_osi,osi_target_t06h,28,pop_density,0.45776127947465284,0.004906672206854287
direct_osi,osi_target_t06h,29,pct_unmapped,0.44285944032890256,0.004746941702667957
direct_osi,osi_target_t06h,30,gust_mean_next_24h,0.39409074329887517,0.004224197597800994
direct_osi,osi_target_t06h,31,wind_speed_max_next_48h,0.3733520318492083,0.004001902564038345
direct_osi,osi_target_t06h,32,log_customers,0.36727794637408806,0.003936795383245262
direct_osi,osi_target_t06h,33,gust_mean_next_1h,0.35743860706861597,0.0038313290302165056
direct_osi,osi_target_t06h,34,gust_max_next_6h,0.34790300636086613,0.003729118404140678
direct_osi,osi_target_t06h,35,pct_wetland,0.3463714210665785,0.003712701578749652
direct_osi,osi_target_t06h,36,wind_speed_max_next_6h,0.34057685449079145,0.003650590517716244
direct_osi,osi_target_t06h,37,gust_max_last6h_obs,0.32468030312884366,0.003480197847453665
direct_osi,osi_target_t06h,38,osi_mean_72h,0.2951992900343612,0.0031641954373183745
direct_osi,osi_target_t06h,39,R_t_max_72h,0.2775026612216607,0.002974508015852876
direct_osi,osi_target_t06h,40,mslma_t,0.27068079887976637,0.0029013855307218196
direct_osi,osi_target_t06h,41,wind_speed_max_next_24h,0.2697456607784261,0.0028913619303494098
direct_osi,osi_target_t06h,42,tree_canopy_std,0.2500052898249123,0.002679767953633511
direct_osi,osi_target_t06h,43,soil_gust_x_phase,0.24821682546462398,0.0026605976813473815
direct_osi,osi_target_t06h,44,pct_developed,0.2451847266202094,0.0026280970837752188
direct_osi,osi_target_t06h,45,pressure_change_3h,0.24009332000423456,0.002573523085369176
direct_osi,osi_target_t06h,46,gust_peak4h_mean_next_48h,0.22978493438859005,0.0024630290976385685
direct_osi,osi_target_t06h,47,pre_event_mean_osi,0.2086055266772746,0.0022360103089502583
direct_osi,osi_target_t06h,48,storm_onset_mean_osi,0.2007750403281534,0.0021520765394110798
direct_osi,osi_target_t06h,49,gust_trend_last6h_obs,0.18379789993196027,0.0019701012027695352
direct_osi,osi_target_t06h,50,osi_max_72h,0.18348668791441014,0.0019667653693877674
direct_osi,osi_target_t06h,51,gust_mean_next_48h,0.18121425893332344,0.001942407555340357
direct_osi,osi_target_t06h,52,d2m_t,0.17819344877352705,0.001910027959428998
direct_osi,osi_target_t06h,53,N_t_max_72h,0.17232359592162538,0.0018471099164704408
direct_osi,osi_target_t06h,54,gust_mean_obs,0.17206917583098402,0.0018443828269511001
direct_osi,osi_target_t06h,55,soil_moist_t,0.16644793981686234,0.0017841296693439012
direct_osi,osi_target_t06h,56,gust_max_next_48h,0.1648281812958885,0.0017667677288018817
direct_osi,osi_target_t06h,57,gust_gt30_since_onset,0.16268432318611303,0.0017437880459970215
direct_osi,osi_target_t06h,58,gust_mean_next_6h,0.16195899953891058,0.0017360134142396417
direct_osi,osi_target_t06h,59,gust_peak4h_mean_next_24h,0.1576986299987766,0.001690347173448165
direct_osi,osi_target_t06h,60,pre_event_max_outage_pct,0.15406666811031755,0.0016514167368788944
direct_osi,osi_target_t06h,61,gust_peak4h_mean_next_6h,0.15253847458370728,0.001635036267319917
direct_osi,osi_target_t06h,62,pct_water,0.14549810588505352,0.001559571646416776
direct_osi,osi_target_t06h,63,pct_forest_classified,0.1451476197107695,0.0015558148394360291
