model,horizon,fipsCode,rmse,mae,n
C0_direct_osi,osi_target_t01h,54013,0.04534752504574409,0.022730575446494334,143
C0_direct_osi,osi_target_t01h,54015,0.052328697865889534,0.02777880787880617,143
C0_direct_osi,osi_target_t01h,54019,0.0058437032531267275,0.002758744966035356,143
C0_direct_osi,osi_target_t01h,54023,0.004613357119648349,0.0034081695695489496,143
C0_direct_osi,osi_target_t01h,54025,0.0019091971545981924,0.0010390569781987826,143
C0_direct_osi,osi_target_t01h,54027,0.002581560651960451,0.0018569753927754613,143
C0_direct_osi,osi_target_t01h,54029,0.013151494064946052,0.007239250999273462,143
C0_direct_osi,osi_target_t01h,54031,0.00292459937562673,0.0017267451213905426,143
C0_direct_osi,osi_target_t01h,54033,0.0027142746429869393,0.001530356672839984,143
C0_direct_osi,osi_target_t01h,54035,0.00316187393660748,0.0016854661359401266,143
C0_direct_osi,osi_target_t01h,54037,0.0032281291681113176,0.0017124433815752654,143
C0_direct_osi,osi_target_t01h,54039,0.0030250075414184007,0.0015357235285511797,143
C0_direct_osi,osi_target_t01h,54041,0.014641223447226926,0.004295473027477034,143
C0_direct_osi,osi_target_t01h,54043,0.008030916272993627,0.003818205212781049,143
C0_direct_osi,osi_target_t01h,54045,0.008626022174338386,0.0038264237793695604,143
C0_direct_osi,osi_target_t01h,54047,0.005153070501114316,0.0030543797136520705,143
C0_direct_osi,osi_target_t01h,54053,0.0013187486032934666,0.0007748297935453388,143
C0_direct_osi,osi_target_t01h,54055,0.0021671915668058004,0.0011240613779249006,143
C0_direct_osi,osi_target_t01h,54057,0.001862642145337543,0.0013120941927333575,143
C0_direct_osi,osi_target_t01h,54059,0.014351632432477645,0.008359754214457874,143
C0_direct_osi,osi_target_t01h,54063,0.002724258802673246,0.0015038795828623912,143
C0_direct_osi,osi_target_t01h,54067,0.005343977037840482,0.002330405225920083,143
C0_direct_osi,osi_target_t01h,54069,0.009304534894404078,0.006198549022968453,143
C0_direct_osi,osi_target_t01h,54071,0.00440431637385911,0.0025928243870129574,143
C0_direct_osi,osi_target_t01h,54073,0.007143088861152254,0.004324309869015532,143
C0_direct_osi,osi_target_t01h,54075,0.0034460686013893043,0.0023292723983297874,143
C0_direct_osi,osi_target_t01h,54077,0.004367223792436408,0.002176773673017755,143
C0_direct_osi,osi_target_t01h,54079,0.001261185228774754,0.0006594271228724547,143
C0_direct_osi,osi_target_t01h,54081,0.0016895893991964088,0.0008500647229674657,143
C0_direct_osi,osi_target_t01h,54083,0.00831024863283113,0.005668844980066617,143
C0_direct_osi,osi_target_t01h,54085,0.009835443975588148,0.004940315405977465,143
C0_direct_osi,osi_target_t01h,54087,0.008244594527392898,0.003972042186183347,143
C0_direct_osi,osi_target_t01h,54089,0.0015853612758345008,0.0010377784870731787,143
C0_direct_osi,osi_target_t01h,54091,0.008129875913954851,0.005050627994965416,143
C0_direct_osi,osi_target_t01h,54093,0.005650197146723418,0.004170570643048147,143
C0_direct_osi,osi_target_t01h,54095,0.012642667694539452,0.0050380309919732975,143
C0_direct_osi,osi_target_t01h,54097,0.0016358448326069747,0.000957652130459928,143
C0_direct_osi,osi_target_t01h,54099,0.009766141375943017,0.007264404041767218,143
C0_direct_osi,osi_target_t01h,54101,0.0049766232209476164,0.0029905465462524627,143
C0_direct_osi,osi_target_t01h,54103,0.015385324256171012,0.010175213599457996,143
C0_direct_osi,osi_target_t01h,54105,0.007843475795767928,0.003666435328010405,143
C0_direct_osi,osi_target_t01h,54107,0.001477280798676586,0.0008937729077788792,143
C0_direct_osi,osi_target_t01h,54109,0.01179253522230589,0.00660140186867099,143
C0_direct_osi,osi_target_t06h,18009,0.00604307350101659,0.0036210402041800802,138
C0_direct_osi,osi_target_t06h,18013,0.030897662789309246,0.014431648471303004,138
C0_direct_osi,osi_target_t06h,18023,0.002353895596808594,0.00089257246095008,138
C0_direct_osi,osi_target_t06h,18025,0.011815621044195103,0.002102467028856416,138
C0_direct_osi,osi_target_t06h,18027,0.0026477356379729874,0.0011834872356089364,138
C0_direct_osi,osi_target_t06h,18029,0.0023776135327975368,0.0017629973906515173,138
C0_direct_osi,osi_target_t06h,18033,0.003070867668351375,0.0014142868981479853,138
C0_direct_osi,osi_target_t06h,18035,0.002356034621792271,0.0016554674187251276,138
C0_direct_osi,osi_target_t06h,18037,0.002861579750502206,0.0013069455446470056,138
C0_direct_osi,osi_target_t06h,18039,0.00270043672700916,0.0018975442772671506,138
C0_direct_osi,osi_target_t06h,18041,0.005287269449141025,0.0020409902125085914,138
C0_direct_osi,osi_target_t06h,18043,0.0022389082411715315,0.0009816414473649779,138
C0_direct_osi,osi_target_t06h,18045,0.003059428973276819,0.0014260404390375495,138
C0_direct_osi,osi_target_t06h,18047,0.00343004704297798,0.0013885938771228711,138
C0_direct_osi,osi_target_t06h,18051,0.0021903698507340025,0.0017311285303805888,138
C0_direct_osi,osi_target_t06h,18059,0.0012827020831402435,0.0004266658847756884,138
C0_direct_osi,osi_target_t06h,18061,0.004401715915705063,0.0018408781186485459,138
C0_direct_osi,osi_target_t06h,18065,0.002346551614765377,0.000901916912385538,138
C0_direct_osi,osi_target_t06h,18067,0.0017969642707909269,0.0005209264523332282,138
C0_direct_osi,osi_target_t06h,18069,0.0010713883166396589,0.0005765202307796597,138
C0_direct_osi,osi_target_t06h,18071,0.0036183648867243357,0.0014842890435031665,138
