candidate,horizon,fipsCode,rmse,mae,n
L0,osi_target_t01h,39023,0.003339594792691972,0.0016930246447642537,143
L0,osi_target_t01h,39025,0.0018205769301903566,0.0006291625057803162,143
L0,osi_target_t01h,39027,0.0014350846463022952,0.0007059377215986442,143
L0,osi_target_t01h,39029,0.00988591456505607,0.00568016441182387,143
L0,osi_target_t01h,39031,0.00864703066420574,0.006083345459569441,143
L0,osi_target_t01h,39033,0.005555962331583382,0.002679073066063856,143
L0,osi_target_t01h,39035,0.005675036459693649,0.0036924096483502544,143
L0,osi_target_t01h,39037,0.0014464420840961108,0.0009042267246656449,143
L0,osi_target_t01h,39039,0.00897310864584139,0.004852897213701113,143
L0,osi_target_t01h,39045,0.003864763021564114,0.002333841248805979,143
L0,osi_target_t01h,39049,0.004647732620369794,0.0026016853805903837,143
L0,osi_target_t01h,39051,0.00338364183257908,0.0018901279019868274,143
L0,osi_target_t01h,39053,0.002731504368544678,0.0009764329639244349,143
L0,osi_target_t01h,39055,0.012274558766386216,0.005426657430228503,143
L0,osi_target_t01h,39059,0.02165574886517225,0.012734442876555209,143
L0,osi_target_t01h,39061,0.0011140000582118982,0.0004986174695860122,143
L0,osi_target_t01h,39063,0.0019059335425723808,0.001177715922340925,143
L0,osi_target_t01h,39065,0.002658975847119715,0.0012842438788974815,143
L0,osi_target_t01h,39069,0.003085631222738787,0.0015839624271618328,143
L0,osi_target_t01h,39073,0.0023669125426984627,0.001702546367092109,143
L0,osi_target_t01h,39075,0.009321225471710912,0.005162867120192834,143
L0,osi_target_t01h,39077,0.00406854279301797,0.0025569871082406835,143
L0,osi_target_t01h,39081,0.009191572332932593,0.004760649516061209,143
L0,osi_target_t01h,39085,0.002696256784205413,0.001390951506829565,143
L0,osi_target_t01h,39087,0.003601734788547931,0.0012577832625914932,143
L0,osi_target_t01h,39089,0.020553218840010105,0.008855833500439957,143
L0,osi_target_t01h,39091,0.028265721803240974,0.016205085473778847,143
L0,osi_target_t01h,39093,0.0020834631374549257,0.0010660153931885384,143
L0,osi_target_t01h,39095,0.0009459067244114285,0.0005787593358847368,143
L0,osi_target_t01h,39097,0.008684921749725596,0.0035717623304640954,143
L0,osi_target_t01h,39099,0.0019009722698992385,0.000988616432651111,143
L0,osi_target_t01h,39101,0.006875820213606949,0.005006387578862412,143
L0,osi_target_t01h,39103,0.008231773920203127,0.005647195412601317,143
L0,osi_target_t01h,39105,0.003486731247989565,0.0016810846851470819,143
L0,osi_target_t01h,39107,0.02245544450696605,0.011516130254514248,143
L0,osi_target_t01h,39109,0.002632542594885284,0.0017144562246650626,143
