comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
G_minus_C,osi_target_t01h,C0_direct_osi,0,6864,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0068914602924788,0.002798437249228229,0.32598663214474155,0.00017853276190614448,0.0,0.0,0.0,0
G_minus_C,osi_target_t01h,C0_direct_osi,1,6721,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.010590048791515361,0.0037813675457644565,0.7537543256262691,-0.0003804539387695463,0.0,0.0,0.0,0
G_minus_C,osi_target_t01h,C0_direct_osi,2,6864,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.013282252064634785,0.0040659406693599,1.2109346614519099,-0.0005315700917387339,0.0,0.0,0.0,0
G_minus_C,osi_target_t01h,C0_direct_osi,3,6864,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.01619361981450347,0.003995209796294814,1.7999695269900076,0.00045190610740525366,0.0,0.0,0.0,0
G_minus_C,osi_target_t01h,C0_direct_osi,4,6864,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.011203868858249656,0.003358496807966772,0.8616151136245667,-0.0003821592801369917,0.0,0.0,0.0,0
G_minus_B,osi_target_t01h,C1_component_osi,0,6864,0.006878008182396166,0.0027523442813652127,0.32471522436799344,0.00012628294777262814,0.006871546096898144,0.0027450805706979047,0.32410535250896855,0.00013655261744202529,-6.462085498021471e-06,-0.09395286144847637,0.0006098718590248908,136
G_minus_B,osi_target_t01h,C1_component_osi,1,6721,0.010475476154200185,0.0037401627476018255,0.7375329720171535,-0.00035863675975317,0.0104310415866569,0.0037222047831732305,0.7312893507034242,-0.00035265044692552115,-4.4434567543284384e-05,-0.4241770673638401,0.006243621313729353,124
G_minus_B,osi_target_t01h,C1_component_osi,2,6864,0.013206991676233862,0.004074350225690238,1.1972506543902626,-0.00042843049497314455,0.013205674328693207,0.004075807172735277,1.1970118238398784,-0.00043296307804545966,-1.31734754065492e-06,-0.009974622328456917,0.00023883055038420586,107
G_minus_B,osi_target_t01h,C1_component_osi,3,6864,0.01600680207722095,0.003864674254021297,1.758678380242726,0.0003785034557717186,0.015948486968559057,0.003840738552767254,1.74588747992835,0.0003897913477060414,-5.831510866189174e-05,-0.36431454815624154,0.01279090031437602,108
G_minus_B,osi_target_t01h,C1_component_osi,4,6864,0.01082603757749078,0.0032648511012270537,0.80448200721512,-0.0002535882094721175,0.010266029721650943,0.003231070477779395,0.7234063379113123,-0.00023579529169945145,-0.000560007855839836,-5.172786920712246,0.08107566930380772,132
G_minus_A,osi_target_t01h,C1_component_osi,0,6864,0.006878686349096312,0.0027534482699063992,0.32477926090377046,0.0001243169946495215,0.006871546096898144,0.0027450805706979047,0.32410535250896855,0.00013655261744202529,-7.140252198167829e-06,-0.10380255525251902,0.0006739083948019142,141
G_minus_A,osi_target_t01h,C1_component_osi,1,6721,0.010475133301922051,0.0037395520911788424,0.7374846953148975,-0.0003595731961810137,0.0104310415866569,0.0037222047831732305,0.7312893507034242,-0.00035265044692552115,-4.40917152651505e-05,-0.4209179396033158,0.006195344611473308,125
