case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,negative_fraction,above_one_fraction
H0_Huber,osi_target_t24h,model_raw,common_120_215,22944,0.0034990060978401898,0.0007143722027818115,0.2809043940269526,3.813417216470355e-05,0.0034990060978401898,0.0,0.0,0.0,0.23178172942817293,0.0
H0_Huber,osi_target_t24h,component_clipped,full,28680,0.003795218919999953,0.0008733654239528911,0.4130977331428105,6.412097927692928e-05,0.003795218919999953,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t24h,component_clipped,common_120_215,22944,0.0034973648944781775,0.0006948759554703627,0.28064094029046494,5.76304194761525e-05,0.0034973648944781775,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t24h,aligned,full,28680,0.003751278596995849,0.0008524173122341514,0.4035875731001658,5.152600198449813e-05,0.003751278596995849,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t24h,aligned,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.2739586571388626,5.04093323061344e-05,0.00345547652882615,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t48h,model_raw,full,22944,0.003480128171274755,0.000684873145665952,0.277881485678548,3.936141662041916e-06,0.003480128171274755,0.0,0.0,0.0,0.17586297071129708,0.0
H0_Huber,osi_target_t48h,model_raw,common_120_215,22944,0.003480128171274755,0.000684873145665952,0.277881485678548,3.936141662041916e-06,0.003480128171274755,0.0,0.0,0.0,0.17586297071129708,0.0
H0_Huber,osi_target_t48h,component_clipped,full,22944,0.0034787655866815458,0.0006693169615643348,0.2776639288024389,1.9492325763659062e-05,0.0034787655866815458,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t48h,component_clipped,common_120_215,22944,0.0034787655866815458,0.0006693169615643348,0.2776639288024389,1.9492325763659062e-05,0.0034787655866815458,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t48h,aligned,full,22944,0.00345547652882615,0.0006780784321407472,0.2739586571388626,5.04093323061344e-05,0.00345547652882615,0.0,0.0,0.0,0.0,0.0
H0_Huber,osi_target_t48h,aligned,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.2739586571388626,5.04093323061344e-05,0.00345547652882615,0.0,0.0,0.0,0.0,0.0
L2_N01,osi_target_t01h,model_raw,full,34177,0.004302055954769182,0.0009229222912678322,0.6325371652133291,7.3550441095002345e-06,0.004302055954769182,0.0,0.0,0.0,0.2423559703894432,0.0
L2_N01,osi_target_t01h,model_raw,common_120_215,22944,0.0034797325261943656,0.0007210026372634504,0.2778183062852496,2.397242739363287e-05,0.0034797325261943656,0.0,0.0,0.0,0.2683490237099024,0.0
L2_N01,osi_target_t01h,component_clipped,full,34177,0.00429948761942347,0.0008940244744804161,0.6317821389463287,3.6252860896916266e-05,0.00429948761942347,0.0,0.0,0.0,0.0,0.0
L2_N01,osi_target_t01h,component_clipped,common_120_215,22944,0.0034766988281550743,0.0006922799178587554,0.27733410271344705,5.269514679832795e-05,0.0034766988281550743,0.0,0.0,0.0,0.0,0.0
L2_N01,osi_target_t01h,aligned,full,34177,0.00428668099364763,0.0008869276924308727,0.6280240412118043,4.1980378711305704e-05,0.00428668099364763,0.0,0.0,0.0,0.0,0.0
L2_N01,osi_target_t01h,aligned,common_120_215,22944,0.00345547652882615,0.0006780784321407472,0.2739586571388626,5.04093323061344e-05,0.00345547652882615,0.0,0.0,0.0,0.0,0.0
L2_N01,osi_target_t06h,model_raw,full,32982,0.003765900863468105,0.0008853138778605051,0.4677510311768617,5.1531428453020714e-05,0.003765900863468105,0.0,0.0,0.0,0.17618701109696197,0.0
