case,horizon,fipsCode,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
H0_Huber,osi_target_t01h,18051,1,143,0.001304968760066729,0.0004166456517948553,0.00024352091545926373,3.835668534886598e-05,0.001304968760066729,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18059,3,143,0.0011545657820702159,0.0003482850148480878,0.00019062216675321954,0.00013653195905739783,0.0011545657820702159,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18061,3,143,0.004031089443652671,0.0016456254578180016,0.0023237045406901036,-0.00031974950350634895,0.004031089443652671,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18065,3,143,0.002090814519442124,0.0007971059885740737,0.0006251252657235301,-0.00018096390941775938,0.002090814519442124,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18067,2,143,0.0016802444956665718,0.00047092742368485434,0.0004037206838261472,-0.00013686088083142252,0.0016802444956665718,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18069,0,143,0.001111722540858171,0.0005546944277409663,0.0001767375621228571,-0.00017822136051809975,0.001111722540858171,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18071,0,143,0.0043979783478997935,0.0017561379398505581,0.0027659365374491413,0.0017351271475310021,0.0043979783478997935,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18073,2,143,0.003413545107665636,0.001987011995807175,0.001666277498895724,0.0017952705351189002,0.003413545107665636,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18077,2,143,0.004745308799036806,0.0014437091453602584,0.003220067650544907,-0.0009214424215571967,0.004745308799036806,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18083,2,143,0.00336750180348414,0.0016215472170729754,0.001621629780695058,0.0015152535107792692,0.00336750180348414,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18085,3,143,0.004227230301169601,0.0035654577172548178,0.0025553350707350794,0.003471861307511765,0.004227230301169601,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18087,2,143,0.002415194423142503,0.0021981281381433532,0.0008341424665257467,0.00218461564534726,0.002415194423142503,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18089,4,143,0.0026321436055770347,0.0019371018309050974,0.0009907297343343504,0.001033956124534747,0.0026321436055770347,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18091,0,143,0.0013650242638804603,0.0007006583198359503,0.00026645064746048215,-0.00013668667000972396,0.0013650242638804603,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18093,1,143,0.007693907821650959,0.0024119524367907813,0.008465059112232838,-0.0020028486604465514,0.007693907821650959,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18095,0,143,0.0014186945385673692,0.0006363272599290863,0.0002878152697078059,-8.034566385246243e-05,0.0014186945385673692,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18097,1,143,0.0006192874879233505,0.0002858616263293364,5.4842929955873214e-05,4.7857833485313603e-05,0.0006192874879233505,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18099,3,143,0.00885972570616183,0.0027826153797087553,0.011224747761144734,-0.001622404518509244,0.00885972570616183,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18101,4,143,0.003513976640261446,0.001947506111109706,0.0017657685514473461,0.0005994828490943369,0.003513976640261446,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18103,0,143,0.0025081390962864007,0.0011804991675987409,0.000899578926863812,0.0009958494669780101,0.0025081390962864007,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18105,3,143,0.0020858959908437633,0.000701351644080624,0.0006221875781003862,-0.0004626824126906758,0.0020858959908437633,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18107,1,143,0.0010045281953544745,0.0004680199338906571,0.00014429799602248277,0.0002149935334555787,0.0010045281953544745,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18109,2,143,0.003122409461810469,0.0012296027301964938,0.0013941700411501065,0.0009358964364902002,0.003122409461810469,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18111,2,143,0.0038907483334717973,0.0025932478436546816,0.0021647229310011403,0.002219321623159544,0.0038907483334717973,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18113,1,143,0.000992221038410071,0.0006049694835114088,0.00014078387023608904,-6.347821479500038e-05,0.000992221038410071,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18117,4,143,0.013108323758849393,0.003690544375146856,0.02457142570265461,-0.003514238745266218,0.013108323758849393,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18121,1,143,0.024091596614330465,0.008509456572954939,0.08299791892214954,-0.006009951746518039,0.024091596614330465,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18123,3,143,0.004932803455150498,0.0019172932108548453,0.0034795546395816907,0.0018697407633023976,0.004932803455150498,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18125,0,143,0.0027048532900461196,0.0009094795792189955,0.0010462210788562843,0.0007922374951810579,0.0027048532900461196,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18127,2,143,0.002646246868255278,0.0018522655013838234,0.0010013750157483738,0.0017082344095031361,0.002646246868255278,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18129,4,143,0.0010458456990285153,0.0005363138222703326,0.00015641243134323148,0.00026381784034003173,0.0010458456990285153,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18131,4,143,0.017645250617343716,0.00443495756182346,0.04452374631688823,-0.0030898794486410312,0.017645250617343716,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18133,4,143,0.0010892920444401449,0.00042106630790716585,0.0001696776736055245,-0.0002545490905593311,0.0010892920444401449,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18135,0,143,0.003689320855709401,0.0023074214396788676,0.0019463856378212458,0.0017003826481241456,0.003689320855709401,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18137,0,143,0.0036058653343628514,0.0012478548962035461,0.0018593238677670398,-0.00010697153650836543,0.0036058653343628514,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18139,2,143,0.0028592493263386734,0.000873183828494926,0.0011690688595540463,-0.00028889754616543084,0.0028592493263386734,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18141,4,143,0.0017979066672200357,0.00124144307264085,0.0004622429789168986,0.0008937161793787158,0.0017979066672200357,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18143,2,143,0.0040153542251296056,0.0017584275976150257,0.002305598946117063,-0.001166727451019393,0.0040153542251296056,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18145,4,143,0.0012801282992041727,0.0004281856875119727,0.00023433817012654163,-0.0003408325108720304,0.0012801282992041727,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18147,0,143,0.0017685053924676069,0.0007200866846600765,0.0004472484192157416,0.0007158908804642723,0.0017685053924676069,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18149,3,143,0.005380925334903511,0.0033610363447180596,0.0041404731167523235,0.0032347231925696283,0.005380925334903511,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18151,1,143,0.011327740714842818,0.008502240560877615,0.0183494324874872,-0.008436074851470752,0.011327740714842818,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18153,3,143,0.002139087164211007,0.0008730006047778547,0.0006543242271411971,0.0005744641915003101,0.002139087164211007,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18155,4,143,0.0030779527804888616,0.0010488567548612722,0.0013547524446054333,0.0009705350765395938,0.0030779527804888616,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18157,1,143,0.0009450790279361041,0.0003584084145894555,0.00012772393477338516,0.00030300570118509714,0.0009450790279361041,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18159,0,143,0.004244373992650957,0.0018031475324946746,0.0025761036142973315,0.0009733017968271369,0.004244373992650957,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18161,0,143,0.002831557078127659,0.001558857220709889,0.0011465333145973628,0.001441134114340341,0.002831557078127659,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18163,4,143,0.0006233732532821296,0.0002879661593280692,5.55689724457791e-05,0.00014656730117855072,0.0006233732532821296,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18165,4,143,0.01381153208402865,0.003500773151489385,0.02727845384666585,-0.0015018569867498663,0.01381153208402865,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18167,3,143,0.0013644393859795084,0.0005904441388430631,0.00026622236183573573,-2.5336903538688437e-06,0.0013644393859795084,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18169,3,143,0.0016928897459252974,0.0005515550306358471,0.0004098202239358395,0.00018791866699948348,0.0016928897459252974,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18171,0,143,0.004555749365897753,0.0022272936315439976,0.0029679438767375222,0.0015992782014349312,0.004555749365897753,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18173,3,143,0.0017160322823102307,0.0008160472537005308,0.0004211016515321128,0.0006428947954098548,0.0017160322823102307,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18175,4,143,0.004022666640894694,0.001292601849358634,0.0023140041072386816,-4.44249725343269e-05,0.004022666640894694,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18177,1,143,0.0016884453931005456,0.0008713079954452,0.0004076712419039912,0.0007146646388018434,0.0016884453931005456,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18179,0,143,0.004627389826762878,0.0014329606206110188,0.0030620213350624867,-0.0008470259254579734,0.004627389826762878,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18181,2,143,0.0018090108339617224,0.000742694122389253,0.0004679703882268967,0.00026726275611861123,0.0018090108339617224,0.0,0.0,0.0
H0_Huber,osi_target_t01h,18183,1,143,0.00272526056807405,0.000644759044930412,0.001062067458437599,-8.870259578133952e-05,0.00272526056807405,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39017,1,143,0.0008149758415689935,0.00029927064836773496,9.497854399477576e-05,-5.36868745358351e-05,0.0008149758415689935,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39023,1,143,0.002718359352731027,0.0016706970544264465,0.0010566952925929755,0.0005920227960486123,0.002718359352731027,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39025,1,143,0.0017765479431099277,0.0006015707206749437,0.00045132553096604043,-0.0002812764326656499,0.0017765479431099277,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39027,0,143,0.0010837881800184323,0.0005489295007826647,0.0001679673451381162,0.00016086384233804228,0.0010837881800184323,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39029,2,143,0.008499934916483144,0.004539190233176436,0.01033159178257625,0.003851046773710458,0.008499934916483144,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39031,2,143,0.009244993728251109,0.006324172955546493,0.012222196992062536,0.0024148300436614653,0.009244993728251109,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39033,4,143,0.0066028060756716835,0.0033015741985422324,0.006234377874428547,-0.0011714712385558562,0.0066028060756716835,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39035,4,143,0.005683461022455226,0.0037843018203045924,0.004619147274708795,-0.003678227241057913,0.005683461022455226,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39037,0,143,0.0015284987509798732,0.000863226026092477,0.0003340921057398256,0.0004746059810600348,0.0015284987509798732,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39039,1,143,0.008873500587524076,0.00474301404798494,0.011259678812780985,-0.0046058823322720705,0.008873500587524076,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39045,2,143,0.004363988230084778,0.002600939847707162,0.0027233482379415415,0.0018634594866444362,0.004363988230084778,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39049,1,143,0.004610670708335813,0.0025673191584982646,0.0030399346664409382,-0.0006429450948790216,0.004610670708335813,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39051,2,143,0.003094447041627513,0.0017719729444167507,0.0013693111565615292,-0.0006138138828457784,0.003094447041627513,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39053,4,143,0.0027261257169227523,0.001015061326727691,0.0010627418836988655,-0.0004662707306208031,0.0027261257169227523,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39055,0,143,0.012091492638398682,0.004607602237147763,0.020907199774096278,-0.002094860298165986,0.012091492638398682,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39059,0,143,0.016172365903312533,0.009764759843870605,0.03740099490421949,-0.00879285060725527,0.016172365903312533,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39061,2,143,0.0015022479057747661,0.0006951746442629368,0.0003227150741678679,0.0005595103085986011,0.0015022479057747661,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39063,0,143,0.0018737129644591179,0.001174979917023758,0.000502044439065051,0.0011204344624783035,0.0018737129644591179,0.0,0.0,0.0
H0_Huber,osi_target_t01h,39065,3,143,0.003042582167588415,0.001656590972880598,0.001323794793253364,0.00042297591090944317,0.003042582167588415,0.0,0.0,0.0
