horizon,model,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
osi_target_t06h,C3_aligned_component,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t06h,v18_rule,all_counties,32982,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.01001049575133449,0.0032462450567294922,3.30512705073366,-5.5944208495866444e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C0_direct_osi,all_counties,28680,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.008226384409228592,0.002869898651939075,1.9408731248600906,3.959187710729487e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C1_component_osi,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C2_equal_blend,all_counties,28680,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.008138086784558686,0.0028236708893098423,1.8994321327930908,-6.211636473420419e-07,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,C3_aligned_component,all_counties,28680,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.007856603329105922,0.0027102846330645763,1.7703078711779354,-2.2646388751735365e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t24h,v18_rule,all_counties,28680,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.008094958237266874,0.002818108889202019,1.8793530453935594,-1.765012952478964e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t48h,C0_direct_osi,all_counties,22944,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0074109081985547385,0.0022779802965589716,1.2601202801519995,-4.1053581039796424e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t48h,C1_component_osi,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t48h,C2_equal_blend,all_counties,22944,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.00738168056554288,0.002262974292109194,1.2502003877029932,-2.7401805582575556e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t48h,C3_aligned_component,all_counties,22944,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.006860012921890601,0.002158720126001388,1.079739530107482,2.5927869457105387e-05,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
osi_target_t48h,v18_rule,all_counties,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.0,0.0,0.0,0,239,2000,20260910,0.0,0.0,0.0,1.0
