cv_seed,horizon,target_day,fipsCode,variant,low_loss_controls,high_loss_controls,control_max_osi_peak,control_mean_osi_peak,control_max_osi_mean,query_osi_peak,query_osi_mean,query_P_mean,control_mean_P_mean,control_max_P_mean
42,6,5,54013,source_cache_rank,0,3,0.1199,0.06820000000000001,0.021133333333333334,0.191,0.03852083333333333,0.06334688345833334,0.020734761491666667,0.03362198945833333
42,6,5,54015,context,0,3,0.1199,0.06118,0.021133333333333334,0.1724,0.065225,0.10118123804166666,0.01926786585,0.03362198945833333
42,6,5,54015,source_cache_rank,1,2,0.0821,0.04532,0.021133333333333334,0.1724,0.065225,0.10118123804166666,0.016554483441666667,0.03362198945833333
42,6,5,54019,context,2,1,0.1199,0.03906,0.016379166666666667,0.0355,0.007941666666666666,0.012556670125,0.010520390083333334,0.022001598875
42,6,5,54019,source_cache_rank,2,0,0.0444,0.02036,0.013683333333333334,0.0355,0.007941666666666666,0.012556670125,0.008952785658333334,0.0198992995
42,6,5,54023,context,1,2,0.1724,0.060360000000000004,0.065225,0.0001,8.333333333333334e-06,1.0081416666666666e-05,0.030139422791666665,0.10118123804166666
42,6,5,54023,source_cache_rank,4,0,0.012,0.0031399999999999996,0.0058,0.0001,8.333333333333334e-06,1.0081416666666666e-05,0.0017405391833333333,0.008295299375
42,6,5,54025,context,4,1,0.1199,0.027979999999999998,0.016379166666666667,0.0014,0.0003416666666666667,0.0004916846666666667,0.0051398014666666665,0.022001598875
42,6,5,54025,source_cache_rank,3,0,0.0355,0.01684,0.009395833333333332,0.0014,0.0003416666666666667,0.0004916846666666667,0.005416841075,0.012556670125
42,6,5,54027,context,2,1,0.0522,0.026080000000000002,0.007170833333333334,0.0002,2.0833333333333333e-05,4.9810833333333334e-05,0.005034102041666667,0.010683312083333334
42,6,5,54027,source_cache_rank,5,0,0.0044,0.00162,0.00037500000000000006,0.0002,2.0833333333333333e-05,4.9810833333333334e-05,0.00031012165,0.00053236775
42,6,5,54029,context,3,1,0.0535,0.017480000000000002,0.03447083333333333,0.0,0.0,5.191666666666666e-06,0.012365437574999999,0.05067947854166666
42,6,5,54029,source_cache_rank,1,0,0.0261,0.016800000000000002,0.013820833333333336,0.0,0.0,5.191666666666666e-06,0.010310285791666669,0.019566232708333336
42,6,5,54031,context,1,1,0.191,0.054759999999999996,0.03852083333333333,0.0016,0.00021666666666666666,0.00034156258333333336,0.017742834349999997,0.06334688345833334
42,6,5,54031,source_cache_rank,4,1,0.191,0.0405,0.03852083333333333,0.0016,0.00021666666666666666,0.00034156258333333336,0.013267178758333335,0.06334688345833334
42,6,5,54033,context,5,0,0.0075,0.0038599999999999997,0.002433333333333333,0.0034,0.0015833333333333333,0.0021537842083333334,0.0015607578583333333,0.0035994838333333334
42,6,5,54033,source_cache_rank,4,0,0.0341,0.00924,0.005458333333333333,0.0034,0.0015833333333333333,0.0021537842083333334,0.0025872173583333332,0.008810229291666666
42,6,5,54035,context,1,2,0.191,0.08112,0.065225,0.0132,0.0022791666666666668,0.0037269526249999996,0.03664959583333333,0.10118123804166666
42,6,5,54035,source_cache_rank,3,0,0.0202,0.011,0.007141666666666667,0.0132,0.0022791666666666668,0.0037269526249999996,0.00616816455,0.010738707666666666
42,6,5,54037,context,3,0,0.0472,0.0149,0.004091666666666666,0.005,0.0003666666666666666,0.00046231237499999995,0.00257098055,0.006014878333333334
42,6,5,54037,source_cache_rank,2,0,0.0384,0.01962,0.0028083333333333333,0.005,0.0003666666666666666,0.00046231237499999995,0.002613005691666667,0.004358440416666667
42,6,5,54039,context,4,0,0.0236,0.00818,0.004433333333333333,0.015,0.006408333333333333,0.009683903624999999,0.0020257109916666663,0.006733490166666666
42,6,5,54039,source_cache_rank,3,0,0.0355,0.014959999999999998,0.007941666666666666,0.015,0.006408333333333333,0.009683903624999999,0.0051118792,0.012556670125
42,6,5,54041,context,2,1,0.0522,0.02374,0.007941666666666666,0.1199,0.016379166666666667,0.022001598875,0.006788206850000001,0.012556670125
42,6,5,54041,source_cache_rank,1,2,0.191,0.07224,0.03852083333333333,0.1199,0.016379166666666667,0.022001598875,0.02379911985,0.06334688345833334
42,6,5,54043,context,1,1,0.1199,0.04628,0.016379166666666667,0.0522,0.007170833333333334,0.010683312083333334,0.011293888116666668,0.022001598875
42,6,5,54043,source_cache_rank,1,2,0.0821,0.047240000000000004,0.021133333333333334,0.0522,0.007170833333333334,0.010683312083333334,0.01929184845,0.03362198945833333
42,6,5,54045,context,2,1,0.0522,0.02386,0.007941666666666666,0.0444,0.013683333333333334,0.0198992995,0.006587884966666667,0.012556670125
42,6,5,54045,source_cache_rank,1,2,0.0647,0.03686,0.024795833333333336,0.0444,0.013683333333333334,0.0198992995,0.013945941466666667,0.03588812445833333
42,6,5,54047,context,2,2,0.0778,0.03574,0.021133333333333334,0.0267,0.005666666666666666,0.008575909,0.01300882145,0.032336352625
42,6,5,54047,source_cache_rank,0,4,0.191,0.09444,0.03852083333333333,0.0267,0.005666666666666666,0.008575909,0.030363843675000002,0.06334688345833334
42,6,5,54053,context,1,1,0.1199,0.045579999999999996,0.016379166666666667,0.0029,0.0012291666666666666,0.0018235666666666667,0.012667010774999998,0.022001598875
42,6,5,54053,source_cache_rank,2,0,0.0236,0.01366,0.004433333333333333,0.0029,0.0012291666666666666,0.0018235666666666667,0.004713052191666667,0.006733490166666666
42,6,5,54055,context,2,0,0.0444,0.0201,0.013683333333333334,0.0034,0.0003416666666666666,0.0004779177916666667,0.008969932541666666,0.0198992995
42,6,5,54055,source_cache_rank,3,0,0.0355,0.013239999999999998,0.007941666666666666,0.0034,0.0003416666666666666,0.0004779177916666667,0.006037135175,0.012556670125
42,6,5,54057,context,5,0,0.0075,0.0039,0.002433333333333333,0.0002,1.6666666666666667e-05,3.2073875e-05,0.0016401098,0.0035994838333333334
42,6,5,54057,source_cache_rank,5,0,0.0054,0.00232,0.0013875,0.0002,1.6666666666666667e-05,3.2073875e-05,0.0005883197666666666,0.0020178576666666664
42,6,5,54059,context,3,0,0.039,0.01402,0.006733333333333334,0.0647,0.024795833333333336,0.03588812445833333,0.004327272208333333,0.010135656750000001
42,6,5,54059,source_cache_rank,1,1,0.0522,0.027739999999999997,0.013683333333333334,0.0647,0.024795833333333336,0.03588812445833333,0.009168519466666667,0.0198992995
42,6,5,54063,context,4,1,0.1199,0.02814,0.016379166666666667,0.0022,0.0009624999999999999,0.0013255991666666666,0.005045513433333334,0.022001598875
42,6,5,54063,source_cache_rank,5,0,0.0057,0.00284,0.0015125,0.0022,0.0009624999999999999,0.0013255991666666666,0.0010480547083333333,0.0021550662083333334
42,6,5,54067,context,3,2,0.1199,0.04292,0.021133333333333334,0.0341,0.009395833333333332,0.012166933833333332,0.01140929465,0.032336352625
