cv_seed,horizon,target_day,fipsCode,excluded_fold,variant,rank,matched_fips,matched_fold,distance,control_osi_peak,control_osi_mean,control_P_peak,control_P_mean,control_N_peak,control_R_mean,control_D_mean,control_P_hours_gt05,control_T_rmse,control_S_rmse,query_osi_peak,query_osi_mean,query_P_peak,query_P_mean,query_N_peak,query_R_mean,query_D_mean,query_P_hours_gt05,query_T_rmse,query_S_rmse,control_low_loss,control_high_loss,control_countyName,control_stateAbbr
42,24,4,18013,1,source_cache_rank,2,18047,4,0.2543562129007256,0.0319,0.006945833333333334,0.060608658,0.00982640375,0.028861266,0.0037719673749999996,0.008030910208333334,1,0.00713811295282784,0.006999462752436376,0.1379,0.0486625,0.242625714,0.07171395579166667,0.080875238,0.011951025291666667,0.06412897583333334,13,0.06030107197189478,0.06317266847273682,False,False,Franklin County,IN
42,24,4,18013,1,source_cache_rank,3,54035,0,0.2669173884780274,0.001,0.00015416666666666668,0.001718951,0.00021998633333333338,0.00055252,5.031229166666667e-05,0.00010444870833333333,0,0.0014312387044677424,0.0019469933691215362,0.1379,0.0486625,0.242625714,0.07171395579166667,0.080875238,0.011951025291666667,0.06412897583333334,13,0.06030107197189478,0.06317266847273682,True,False,Jackson County,WV
42,24,4,18013,1,source_cache_rank,4,18101,4,0.267810313834847,0.0366,0.009766666666666667,0.063461871,0.014035391083333333,0.021096317,0.002975675875,0.011225430041666666,2,0.006456549663503711,0.008577952575789381,0.1379,0.0486625,0.242625714,0.07171395579166667,0.080875238,0.011951025291666667,0.06412897583333334,13,0.06030107197189478,0.06317266847273682,False,False,Martin County,IN
42,24,4,18013,1,source_cache_rank,5,54087,0,0.2700159595626512,0.0097,0.0032375000000000004,0.015950482,0.005138277208333333,0.004562949,0.00021492704166666663,0.003883472666666667,0,0.0034009610726466882,0.003026980832615291,0.1379,0.0486625,0.242625714,0.07171395579166667,0.080875238,0.011951025291666667,0.06412897583333334,13,0.06030107197189478,0.06317266847273682,True,False,Roane County,WV
42,24,4,39119,1,source_cache_rank,1,39059,0,0.15124511826952636,0.1423,0.10457500000000002,0.214180929,0.155908214375,0.003850996,0.006026467000000001,0.17072339275,24,0.028613645032753616,0.027640187814662806,0.0411,0.024829166666666663,0.055827838,0.03597437879166667,0.004834254,0.0025833850833333334,0.04184361645833334,3,0.05391875104029955,0.056074208829383326,False,True,Guernsey County,OH
42,24,4,39119,1,source_cache_rank,2,39031,2,0.151390409314218,0.1096,0.07925416666666667,0.16391574,0.11807683408333335,0.000911162,0.004574748375,0.12985090316666667,24,0.023298020540389028,0.023309709709363306,0.0411,0.024829166666666663,0.055827838,0.03597437879166667,0.004834254,0.0025833850833333334,0.04184361645833334,3,0.05391875104029955,0.056074208829383326,False,True,Coshocton County,OH
42,24,4,39119,1,source_cache_rank,3,39157,2,0.16358356520631048,0.0853,0.07185833333333334,0.126089109,0.10813724483333333,0.002869724,0.002708840125,0.11488947025,24,0.04040199538488218,0.04072466425503178,0.0411,0.024829166666666663,0.055827838,0.03597437879166667,0.004834254,0.0025833850833333334,0.04184361645833334,3,0.05391875104029955,0.056074208829383326,False,True,Tuscarawas County,OH
42,24,4,39119,1,source_cache_rank,4,39127,0,0.17606735981353314,0.0081,0.004275,0.013047733,0.005951236833333334,0.001594723,0.0007679691666666665,0.0072707332500000004,0,0.015607588451078387,0.019646304740281346,0.0411,0.024829166666666663,0.055827838,0.03597437879166667,0.004834254,0.0025833850833333334,0.04184361645833334,3,0.05391875104029955,0.056074208829383326,True,False,Perry County,OH
42,24,4,39119,1,source_cache_rank,5,39081,4,0.21191043081930636,0.0615,0.03687083333333333,0.094283615,0.05369504104166667,0.001155911,0.0037817970833333332,0.062608099,13,0.013145498822127372,0.01590426545521092,0.0411,0.024829166666666663,0.055827838,0.03597437879166667,0.004834254,0.0025833850833333334,0.04184361645833334,3,0.05391875104029955,0.056074208829383326,False,True,Jefferson County,OH
42,24,6,54013,2,context,1,54007,4,0.45586844558752354,0.1154,0.06405,0.186941754,0.09357571183333334,0.039501824,0.009835269291666667,0.102380977375,19,0.04911728928979512,0.049270798737260556,0.1752,0.11581666666666668,0.277119628,0.16915408429166667,0.032442896,0.012924248208333334,0.19150212924999999,24,0.08247780882965809,0.08226123155757607,False,True,Braxton County,WV
