cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
42,1,39039,143,0.010607485855628217,0.008612678025250385,-0.0043993873846377325,0.007346153846153846,0.0375,,,,,,,,,,,,,,,,,,,Defiance County,OH,57
42,1,39045,143,0.002769555771211554,0.004400854789197807,0.0018496754028111638,0.0038293706293706293,0.0479,,,,,,,,,,,,,,,,,,,Fairfield County,OH,103
42,1,39049,143,0.0031270582047488327,0.0046762741465132774,-0.0006415035241757777,0.009523776223776224,0.0736,,,,,,,,,,,,,,,,,,,Franklin County,OH,97
42,1,39051,143,0.0014516348622667435,0.0031861093426190008,-0.0006961960746733679,0.00409090909090909,0.0262,,,,,,,,,,,,,,,,,,,Fulton County,OH,134
42,1,39053,143,0.0010551284391228776,0.0027163432318664804,-0.0004902160912394577,0.0011034965034965034,0.0181,,,,,,,,,,,,,,,,,,,Gallia County,OH,154
42,1,39055,143,0.01680733883883592,0.01084130241409295,-0.0013743514643299293,0.027096503496503492,0.1471,,,,,,,,,,,,,,,,,,,Geauga County,OH,42
42,1,39059,143,0.047689518817422755,0.01826179450610963,-0.010078955933213425,0.059832167832167826,0.2697,,,,,,,,,,,,,,,,,,,Guernsey County,OH,15
42,1,39061,143,0.00028615474453607656,0.0014145961012327559,0.00045535285242641907,0.00023006993006993007,0.0019,,,,,,,,,,,,,,,,,,,Hamilton County,OH,210
42,1,39063,143,0.00036388038567306756,0.0015951859081717852,0.0009715068735599334,0.000876923076923077,0.0105,,,,,,,,,,,,,,,,,,,Hancock County,OH,198
42,1,39065,143,0.0014258051511039057,0.003157636044944858,0.00039882848924134573,0.0015671328671328672,0.0216,,,,,,,,,,,,,,,,,,,Hardin County,OH,135
42,1,39069,143,0.0009669750308983875,0.0026003967299501776,-0.0009635750584897504,0.0031090909090909094,0.0239,,,,,,,,,,,,,,,,,,,Henry County,OH,163
42,1,39073,143,0.0013216754295577611,0.003040145641475577,0.0015327945008162204,0.005302097902097902,0.0451,,,,,,,,,,,,,,,,,,,Hocking County,OH,143
42,1,39075,143,0.019523919805365237,0.011684644099407856,-0.002691472887421759,0.061512587412587416,0.3293,,,,,,,,,,,,,,,,,,,Holmes County,OH,35
42,1,39077,143,0.0030585149344998586,0.004624739595390625,0.0027761577676284287,0.00678951048951049,0.0533,,,,,,,,,,,,,,,,,,,Huron County,OH,98
42,1,39081,143,0.01758919752225511,0.011090598778898788,0.0018352734486055686,0.022734265734265735,0.1317,,,,,,,,,,,,,,,,,,,Jefferson County,OH,40
42,1,39085,143,0.0009061275186312326,0.0025172516907024383,-0.0001396675860345175,0.0032321678321678322,0.0147,,,,,,,,,,,,,,,,,,,Lake County,OH,166
42,1,39087,143,0.0018784202967659803,0.0036243352867927066,1.7325546978818322e-05,0.0007916083916083915,0.0297,,,,,,,,,,,,,,,,,,,Lawrence County,OH,119
42,1,39089,143,0.0573062380341859,0.020018564466913837,-0.007418580992044869,0.028353846153846153,0.1675,,,,,,,,,,,,,,,,,,,Licking County,OH,12
42,1,39091,143,0.023012770770258494,0.012685758429234122,0.008541092969109642,0.007828671328671329,0.1394,,,,,,,,,,,,,,,,,,,Logan County,OH,27
42,1,39093,143,0.000403339414907976,0.001679450906995148,-0.0002518432510791019,0.005146853146853146,0.0344,,,,,,,,,,,,,,,,,,,Lorain County,OH,193
42,1,39095,143,0.000311835964464668,0.0014767095449588262,-0.0007823177141869688,0.002909090909090909,0.0152,,,,,,,,,,,,,,,,,,,Lucas County,OH,204
42,1,39097,143,0.011204922985660122,0.008851898372373353,0.0008546735945994354,0.00912027972027972,0.0744,,,,,,,,,,,,,,,,,,,Madison County,OH,54
42,1,39099,143,0.0005714972928070121,0.001999120948087934,0.0005699165242568442,0.0010629370629370628,0.0217,,,,,,,,,,,,,,,,,,,Mahoning County,OH,181
42,1,39101,143,0.0056119633048086525,0.006264542970961692,-0.0019017650443968646,0.01117062937062937,0.065,,,,,,,,,,,,,,,,,,,Marion County,OH,72
42,1,39103,143,0.005777646983957402,0.006356345314875512,0.0036717634956205114,0.0054930069930069925,0.0601,,,,,,,,,,,,,,,,,,,Medina County,OH,70
42,1,39105,143,0.001710236345345505,0.0034582791562706213,-0.00035004274922059687,0.0015265734265734264,0.0202,,,,,,,,,,,,,,,,,,,Meigs County,OH,123
42,1,39107,143,0.04996905170007546,0.01869315190043016,0.010183612160099982,0.006275524475524476,0.102,,,,,,,,,,,,,,,,,,,Mercer County,OH,13
42,1,39109,143,0.00034993774827800556,0.0015643264112151318,0.0005256957502271494,0.0018748251748251748,0.0207,,,,,,,,,,,,,,,,,,,Miami County,OH,200
42,1,39111,143,0.04929706143953198,0.01856703248721622,0.009749776373267164,0.006569230769230769,0.0765,,,,,,,,,,,,,,,,,,,Monroe County,OH,14
42,1,39113,143,0.00030848564767012716,0.0014687553545092151,-0.0007364097315741742,0.0019244755244755246,0.0125,,,,,,,,,,,,,,,,,,,Montgomery County,OH,205
42,1,39115,143,0.14357733259528546,0.031686547474853145,-0.005166523458584733,0.012290909090909092,0.3277,,,,,,,,,,,,,,,,,,,Morgan County,OH,4
42,1,39117,143,0.0347734489321397,0.015593940218989697,-0.0003134050404733544,0.07156293706293707,0.5087,,,,,,,,,,,,,,,,,,,Morrow County,OH,19
42,1,39119,143,0.06902699598030287,0.021970577270443388,0.014752365813220298,0.02633076923076923,0.191,,,,,,,,,,,,,,,,,,,Muskingum County,OH,8
42,1,39121,143,0.009702486080877655,0.008237084011537728,-0.004463109499762484,0.016479720279720278,0.1167,,,,,,,,,,,,,,,,,,,Noble County,OH,61
42,1,39123,143,0.000287758358552136,0.0014185542688425073,0.00023687894130815934,0.0010405594405594404,0.0146,,,,,,,,,,,,,,,,,,,Ottawa County,OH,209
42,1,39125,143,0.04334518812835942,0.01741014657304243,0.0018382852035589352,0.014804195804195808,0.1808,,,,,,,,,,,,,,,,,,,Paulding County,OH,17
42,1,39127,143,0.021629084201970978,0.012298468891562076,0.005859648869023942,0.016220279720279722,0.1607,,,,,,,,,,,,,,,,,,,Perry County,OH,30
42,1,39129,143,0.0001538189358432518,0.0010371388017082158,-0.00018221497278853363,0.0009552447552447552,0.0079,,,,,,,,,,,,,,,,,,,Pickaway County,OH,231
42,1,39131,143,0.004135774606037754,0.005377871395033797,-0.001303573953909686,0.0022265734265734262,0.03,,,,,,,,,,,,,,,,,,,Pike County,OH,84
