cv_seed,horizon,target_day,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse
42,24,5,5736,0.5978492181642359,0.010209189414173014,4.346505204396298e-05,0.004522384937238493,0.191,0.5803370547663625,0.010058554637858408,-0.0001716872427271264,0.5424627076472512,0.4623803324593728,0.08008237518787845,1750.0,0.4912093596767014,0.4777214198082057,2802.0,0.10560788898532358,0.10185346906485966,536.0,0.0007933135273190141,0.0005876571573502858,648.0,0.000238655974891992,0.0001745087359468934
42,24,6,5736,0.6021898354713735,0.010246183725657016,-0.00046342549376339237,0.003570554393305439,0.1817,0.5895308028817909,0.010137915792959511,-0.0005471614933990404,0.5576285297180781,0.495239631460329,0.06238889825774915,1785.0,0.5268589208912364,0.5113288637578547,1759.0,0.07451636716647123,0.07778388205173857,350.0,0.0005182654544274615,0.0003088002383826231,1842.0,0.00029628195923837527,0.00010925683381504442
42,24,7,5736,0.16741364762169741,0.005402451268720121,-0.00012685646493870565,0.000520536959553696,0.3277,0.16488114152169786,0.005361433472918962,-0.00028989552531766483,0.16369792458243876,0.16167463958312778,0.002023284999310998,1707.0,0.16217675223577238,0.1622831733531141,386.0,0.003980405405228354,0.0024266145025187793,227.0,0.0005954676970773563,9.253705415220723e-05,3416.0,0.0006610222836193067,7.881661191275022e-05
42,24,8,5736,0.006685937782120217,0.0010796341022084115,-2.393318574424036e-05,0.00016987447698744767,0.0204,0.005436961957100054,0.0009735843312125435,-0.00013121780540948565,0.00520093908418434,0.004965263422082156,0.0002356756621021835,1531.0,0.004965289824692134,0.005165202354692366,137.0,0.0009154230113754764,0.0002418744444722266,111.0,0.0002895956326088982,1.9508169479043572e-05,3957.0,0.0005156293134437099,1.0376988456418936e-05
42,48,5,5736,0.5566770485316992,0.009851380342539039,-5.147371735132227e-05,0.004522384937238493,0.191,0.5519980500240549,0.00980989141986116,-0.0002950271135135066,0.5273674718362737,0.4401274269650883,0.08724004487118553,1869.0,0.45174811524998904,0.4549883079282804,2803.0,0.10419830478478667,0.09662671953775379,430.0,0.00044847350118560464,0.00031914705093073135,634.0,0.00028215499573794876,6.38755070900237e-05
42,48,6,5736,0.6250321718440501,0.01043870476426639,-0.00047227150328336037,0.003570554393305439,0.1817,0.6220089453288268,0.010413428606862098,-0.0006328931940365528,0.6075322490338357,0.5388156999464339,0.06871654908740171,1805.0,0.5431652475743479,0.5448420011814361,1838.0,0.08107684880405355,0.07686908035955586,335.0,0.0003666188207528974,0.00020243987622380478,1758.0,0.0004234566448958679,9.542391161111342e-05
42,48,7,5736,0.1694864800237956,0.005435793609578428,-5.746291552457216e-05,0.000520536959553696,0.3277,0.16746788704471485,0.00540332635302103,-0.0002631169218533203,0.16412380902657922,0.16209735031863656,0.002026458707942689,1636.0,0.16222809269066535,0.16357428135245755,475.0,0.006060982266914752,0.0035805289121367797,253.0,0.00043273267723094403,0.00013989636572761728,3372.0,0.0007646723889845345,0.0001731804143929062
42,48,8,5736,0.0060472623555860704,0.0010267739314685862,-4.5154027933093984e-05,0.00016987447698744767,0.0204,0.0053154795373828246,0.0009626460961938343,-0.00015480435087005768,0.004912914847464976,0.004825493330562859,8.742151690211677e-05,1561.0,0.004825493330562859,0.00518794,62.0,0.0003599467690515596,9.48695373828237e-05,112.0,0.00023539158356586474,3.267e-05,4001.0,0.0006264306724057863,0.0
20260917,1,3,5497,2.1574389457998886,0.019810999575132205,-0.00013758344103916175,0.019348681098781153,0.5447,,,,,,,,,,,,,,,,,,
20260917,1,4,5736,0.5584488399395168,0.009867045371782474,-1.141176933259392e-05,0.006901882845188283,0.1505,,,,,,,,,,,,,,,,,,
20260917,1,5,5736,0.5766123157340947,0.010026223598484561,-1.41443149202105e-05,0.004522384937238493,0.191,,,,,,,,,,,,,,,,,,
20260917,1,6,5736,0.715539503232486,0.011168947158050824,-0.0006197815172565186,0.003570554393305439,0.1817,,,,,,,,,,,,,,,,,,
20260917,1,7,5736,0.16865000973935518,0.005422363323601364,-0.00011531686121569514,0.000520536959553696,0.3277,,,,,,,,,,,,,,,,,,
20260917,1,8,5736,0.005667399365825096,0.0009940021809551355,-8.61407770129301e-05,0.00016987447698744767,0.0204,,,,,,,,,,,,,,,,,,
20260917,6,3,4302,1.3272705929883095,0.017564853548849776,-8.232700775341991e-05,0.016671989772198973,0.4704,,,,,,,,,,,,,,,,,,
20260917,6,4,5736,0.5584488399395168,0.009867045371782474,-1.141176933259392e-05,0.006901882845188283,0.1505,,,,,,,,,,,,,,,,,,
20260917,6,5,5736,0.5766123157340947,0.010026223598484561,-1.41443149202105e-05,0.004522384937238493,0.191,,,,,,,,,,,,,,,,,,
20260917,6,6,5736,0.715539503232486,0.011168947158050824,-0.0006197815172565186,0.003570554393305439,0.1817,,,,,,,,,,,,,,,,,,
20260917,6,7,5736,0.16865000973935518,0.005422363323601364,-0.00011531686121569514,0.000520536959553696,0.3277,,,,,,,,,,,,,,,,,,
20260917,6,8,5736,0.005667399365825096,0.0009940021809551355,-8.61407770129301e-05,0.00016987447698744767,0.0204,,,,,,,,,,,,,,,,,,
20260917,24,4,5736,0.6090678135314982,0.010304531554606674,-6.0300011140614387e-05,0.006901882845188283,0.1505,0.6230634009625355,0.010422251509517446,-0.0002079935313963108,0.5449504854527267,0.42746841206624375,0.117482073386483,1520.0,0.46144604842174464,0.4655222105839236,2378.0,0.14613535308722136,0.15686691904763247,349.0,0.001084507021622443,0.0005603198874744818,1489.0,0.0004019050009099209,0.00011395144350500485
20260917,24,5,5736,0.6085822541342214,0.010300423260235317,-3.504340427975726e-05,0.004522384937238493,0.191,0.6053958317024093,0.010273422329668892,-0.0002130279767060662,0.5598240574601849,0.48735194725013736,0.07247211021004758,1789.0,0.5092266484665955,0.5063591351627883,2810.0,0.09811064406318357,0.09822900588752008,483.0,0.0009253704183992638,0.0006284965681945106,654.0,0.0003195911860432318,0.00017919408390649154
20260917,24,6,5736,0.7085815903359624,0.011114511026510855,-0.0004553833294952566,0.003570554393305439,0.1817,0.7245618641736441,0.011239142165984215,-0.0005225304570816682,0.6737445618217183,0.5830911241317308,0.09065343768998754,1809.0,0.6018500547910696,0.6039331838117497,1680.0,0.10535231000967436,0.120195425779964,385.0,0.0008056738871032101,0.0003006263543977218,1862.0,0.0005735516481151467,0.00013262822753269893
20260917,24,7,5736,0.17200836767463082,0.005476085444752221,-3.468845683096035e-05,0.000520536959553696,0.3277,0.1673352598196549,0.005401186330436163,-0.00027142083572928805,0.1656209290359119,0.16271304357417415,0.0029078854617377243,1675.0,0.16360121061154664,0.16326921302430253,451.0,0.006460618968853244,0.003893676996209151,270.0,0.0007120890768347252,0.00010119437451957183,3340.0,0.0012344490173961872,7.117542462362928e-05
20260917,24,8,5736,0.006559597456844024,0.0010693848399855586,-2.3705154970831944e-05,0.00016987447698744767,0.0204,0.005507094602041921,0.0009798434574934934,-0.0001250908508278649,0.005254905418224906,0.004942295378882552,0.0003126100393423525,1561.0,0.0049953248083989665,0.005125508405448999,154.0,0.0007901233459517633,0.00032409577872809475,130.0,0.00029475553177203505,4.4066606136534866e-05,3891.0,0.00047939377072125857,1.3423811728291812e-05
20260917,48,5,5736,0.5716241166359222,0.009982761611877148,-0.00016014435073159408,0.004522384937238493,0.191,0.5622212482675324,0.00990031598846555,-0.000422767367829457,0.5437740623377867,0.4683633148965375,0.07541074744124918,1892.0,0.4767961857445497,0.4784044178119614,2772.0,0.09418021234465042,0.08347772999215712,392.0,0.0003520561515769488,0.0002296235434041943,680.0,0.0002956623951449765,0.00010947692000959225
20260917,48,6,5736,0.6810636546820001,0.010896556647474371,-0.0007949673409329528,0.003570554393305439,0.1817,0.6757691030046847,0.01085411939202209,-0.000847452561868701,0.662914000447771,0.6015615194527144,0.06135248099505671,1900.0,0.6088764850860052,0.6053877535174207,1674.0,0.07161245780970807,0.06998731472702353,297.0,0.0002800748816049856,0.00021128490701433262,1865.0,0.000294636904681885,0.00018274985322622387
