cv_seed,horizon,fipsCode,n,T_sse,T_rmse,T_bias,truth_mean,truth_max,S_sse,S_rmse,S_bias,common_score,under_common_score,over_common_score,both_under_n,both_under_T_sse,both_under_S_sse,both_over_n,both_over_T_sse,both_over_S_sse,opposite_n,opposite_T_sse,opposite_S_sse,zero_error_n,zero_error_T_sse,zero_error_S_sse,countyName,stateAbbr,rank
20260917,24,18013,120,0.10233602577445113,0.029202743275026283,-0.013201972827805166,0.0159775,0.1379,0.10906437333493418,0.030147467186997953,-0.013337000652363172,0.10177190269337943,0.1017671873039223,4.715389457104418e-06,69.0,0.10232843567349248,0.10903015500749089,3.0,4.715389457104418e-06,2.0234202014617782e-05,4.0,2.8747115015094648e-06,1.39841254286265e-05,44.0,0.0,0.0,Brown County,IN,5
20260917,24,39115,120,0.14339717110248795,0.034568431058612806,-0.007584215079890871,0.009967499999999999,0.3277,0.14376949417530796,0.034613279505524557,-0.008069359661573842,0.1433648910536895,0.1433595868694047,5.304184284775994e-06,77.0,0.1433866367956983,0.14375496353866102,4.0,9.18479527391716e-06,5.304184284775994e-06,5.0,1.3495115157159121e-06,9.226452362151636e-06,34.0,0.0,0.0,Morgan County,OH,3
20260917,24,39117,120,0.017297162104194793,0.012005957585089022,-0.004281763233980857,0.028817499999999996,0.1347,0.015315313513919328,0.011297239159015551,-0.0028010548698203046,0.012775319228298826,0.008185161534342563,0.004590157693956262,88.0,0.012620088775858941,0.008331872070634383,23.0,0.004625459344374721,0.006962076332164584,9.0,5.161398396113433e-05,2.1365111120359326e-05,0.0,0.0,0.0,Morrow County,OH,30
20260917,24,39119,120,0.0010180613680287733,0.0029127040243686125,-0.00013839357483275163,0.006380833333333334,0.0411,0.0007084192891832621,0.0024297106981134987,0.0001968836722342468,0.00032927153066067557,0.00023125391065041071,9.801762001026486e-05,44.0,0.0007664868497656633,0.00029145113711856647,36.0,0.0001686348731692392,0.0002678998493909951,22.0,8.293964509387093e-05,0.0001490683026737007,18.0,0.0,0.0,Muskingum County,OH,171
20260917,24,42053,120,0.01114665453482249,0.009637882951674991,-0.00108696363561783,0.009370833333333333,0.075,0.011274384753974197,0.009692946212742455,-0.0012469069504494046,0.009799867440810217,0.00813551319005973,0.0016643542507504842,46.0,0.009013775075093423,0.00904034614955601,51.0,0.002123061312967263,0.0022142824947789254,10.0,8.220656381795646e-06,1.9756109639260244e-05,13.0,1.5974903800083448e-06,0.0,Forest County,PA,37
20260917,24,42131,120,0.001138438195225361,0.0030800949596094178,-0.0008325876242846673,0.0014066666666666665,0.0162,0.0011748542454173053,0.0031289698057258737,-0.0007751244406864528,0.0011087203394635062,0.00103380267484661,7.49176646168965e-05,28.0,0.0010401391270640596,0.0010539750204199407,20.0,9.196346555404546e-05,0.00010572547991151281,3.0,6.217579731859078e-08,7.0636050747309e-06,69.0,6.273426809937436e-06,8.090140011120769e-06,Wyoming County,PA,120
20260917,24,54007,120,0.11002295760355346,0.03027966281235001,-0.016040020455848465,0.01888,0.1154,0.10668803724602177,0.029817226179679784,-0.015891089068854926,0.10579039140417944,0.10572493311396201,6.545829021742127e-05,93.0,0.10991772229447086,0.1066025054423871,17.0,0.00010523530908260427,8.553180363466998e-05,0.0,0.0,0.0,10.0,0.0,0.0,Braxton County,WV,4
20260917,24,54013,120,0.27614987172151156,0.04797133447187598,-0.02452039598327615,0.034992499999999996,0.191,0.27392878132960363,0.04777802679489143,-0.024810218237210507,0.2691671480478014,0.2689469700369896,0.00022017801081166503,70.0,0.27535741850260653,0.27368640549854045,28.0,0.0007850505750199935,0.00024184718217032622,6.0,4.92501415016639e-06,5.286488927142737e-07,16.0,2.4776297347772915e-06,0.0,Calhoun County,WV,2
20260917,24,54015,120,0.33195553763616203,0.05259559056582611,-0.025710160033571152,0.03682166666666666,0.1817,0.34887075456552696,0.05391897892250982,-0.02658461480785024,0.3302496447184983,0.32907435230947685,0.0011752924090214071,67.0,0.33001587334671195,0.34765451564832056,33.0,0.0019396364849248943,0.0012110456294481043,1.0,2.7804525207066492e-08,1.148889188594069e-08,19.0,0.0,5.181798866424866e-06,Clay County,WV,1
20260917,24,54041,120,0.030491004676176933,0.015940254252514538,-0.004734490228833385,0.005961666666666667,0.1199,0.03114829249923684,0.01611114844324597,-0.0049086057713435514,0.03042776194715187,0.030414692357358098,1.3069589793777842e-05,82.0,0.030469898637188603,0.031131075721603688,8.0,2.1064786384368864e-05,1.3209389312058175e-05,2.0,4.125260396776621e-08,2.02e-06,28.0,0.0,1.987388321100986e-06,Lewis County,WV,10
20260917,48,18013,96,0.029288830899004976,0.017466882622016497,-0.006224706819904557,0.007806250000000001,0.0774,0.028605136987671104,0.017261812678710985,-0.006044419984715496,0.02854210909424028,0.028428317465296365,0.0001137916289439176,41.0,0.02914813365181939,0.028476620943202618,12.0,0.00013654736298645187,0.0001252879411959722,7.0,4.149884199137329e-06,3.228103272515226e-06,36.0,0.0,0.0,Brown County,IN,7
