comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
G_minus_B,osi_target_t01h,v18_rule,39121,Noble County,0,143,0.009915205567146748,0.005621335230532738,0.014058516105745234,-0.0018193345016851855,0.009801761778240398,0.005514665527408213,0.013738658355904538,-0.0019260042048097102,-0.0001134437889063495,-1.1441395555351508,0.00031985774984069626,4,0.003393786226909419
G_minus_B,osi_target_t01h,v18_rule,39127,Perry County,4,143,0.011064605559428682,0.007001136927519855,0.017506845954560833,0.004928269041018154,0.010972625210077145,0.006913250976439884,0.017216986072117333,0.005016154992098125,-9.198034935153747e-05,-0.8313025607420421,0.00028985988244350017,4,0.003075499897252053
G_minus_B,osi_target_t01h,v18_rule,42039,Crawford County,3,143,0.012733177023875566,0.006953922703545661,0.023185132988353428,-0.004226612432519328,0.012655066930142386,0.00691836290008635,0.02290155281791283,-0.004191052629060016,-7.811009373318023e-05,-0.6134375858178887,0.0002835801704405977,4,0.00300887027794465
G_minus_B,osi_target_t01h,v18_rule,39093,Lorain County,4,143,0.0036010006134515296,0.0016696674403027946,0.0018543103747851958,0.0007609516639332728,0.003369985010215077,0.0015976835989253756,0.0016240222525776265,0.0006889678225558538,-0.00023101560323645276,-6.415316964220851,0.0002302881222075693,4,0.0024434257345902315
G_minus_B,osi_target_t01h,v18_rule,39055,Geauga County,1,143,0.013927055190102927,0.007004299855858115,0.027736689876348718,-0.0033008954899368496,0.013872128750769395,0.006981577063390697,0.027518341719142973,-0.0033236182824042683,-5.492643933353164e-05,-0.394386599204144,0.0002183481572057451,4,0.0023167391409618042
G_minus_B,osi_target_t01h,v18_rule,42009,Bedford County,2,143,0.010300178413878883,0.005648399455386215,0.015171395576156318,0.0001856792102274709,0.010232080878155924,0.0055927505998005856,0.014971453510888744,0.00024132806581309948,-6.809753572295865e-05,-0.661129671610361,0.00019994206526757416,4,0.0021214450099235407
G_minus_B,osi_target_t01h,v18_rule,39045,Fairfield County,2,143,0.0035286689105922518,0.0019919382481051514,0.001780565112122984,0.0006576128929722621,0.0034266691767732716,0.0019458497815768039,0.0016791148155278657,0.0007037013595006098,-0.00010199973381898016,-2.8906008583803544,0.00010145029659511836,4,0.001076417937260753
G_minus_B,osi_target_t01h,v18_rule,18013,Brown County,2,143,0.02950764075102276,0.013241793964611958,0.12451022336487293,-0.009679245123550324,0.029496241968918348,0.013201829825852752,0.12441404551132416,-0.009719209262309533,-1.1398782104411753e-05,-0.03862993385540525,9.617785354876229e-05,4,0.001020475742326288
G_minus_B,osi_target_t01h,v18_rule,54091,Taylor County,4,143,0.0073486261108619555,0.004897394398582766,0.007722329717565622,0.004849065493800795,0.007306716449154755,0.004859102066546926,0.007634499053373859,0.00473072034694965,-4.190966170720088e-05,-0.5703060827282336,8.783066419176377e-05,4,0.0009319095709976414
G_minus_B,osi_target_t01h,v18_rule,39073,Hocking County,4,143,0.0025316727460930576,0.0018233044855096487,0.0009165394657433819,0.0014131874962249442,0.0024316882957349153,0.0017664974325454293,0.0008455744393688271,0.0013563804432607247,-9.998445035814228e-05,-3.9493433941033995,7.096502637455476e-05,4,0.0007529601181218118
G_minus_B,osi_target_t01h,v18_rule,54069,Ohio County,2,143,0.008709871537615616,0.005620901560196733,0.010848246294852626,0.004174928653702251,0.00868384645412403,0.005607183460240909,0.010783514061148757,0.004161210553746427,-2.6025083491585874e-05,-0.298799854615428,6.47322337038684e-05,4,0.0006868283269380985
G_minus_B,osi_target_t01h,v18_rule,54093,Tucker County,2,143,0.004117187098808503,0.003022603547132578,0.00242402583374311,0.0028696386085964136,0.004064020083417729,0.002987874926859418,0.002361825071094438,0.0028349099883232536,-5.316701539077352e-05,-1.2913431941472764,6.220076264867175e-05,4,0.0006599686632118793
G_minus_B,osi_target_t01h,v18_rule,54099,Wayne County,4,143,0.011814098228492565,0.008821604473029807,0.019958927124203378,0.008757652410936267,0.011796425196675916,0.008791913671959558,0.019899257581170175,0.008727961609866016,-1.767303181664931e-05,-0.1495927278988285,5.9669543033203515e-05,4,0.0006331116673362519
G_minus_B,osi_target_t01h,v18_rule,39023,Clark County,4,143,0.002727061064309703,0.001549801884881192,0.0010634712729317777,0.0005547420230641925,0.002659572942657582,0.0015214884223496937,0.0010114859379362323,0.0006260277800898426,-6.74881216521212e-05,-2.474756525820754,5.198533499554546e-05,4,0.0005515799257545679
G_minus_B,osi_target_t01h,v18_rule,39033,Crawford County,3,143,0.004926067306934352,0.0023804755927376263,0.0034700578930799866,-0.0005533227779899472,0.004893534067991453,0.0023717883826222135,0.003424374621466797,-0.0005446355678745346,-3.253323894289884e-05,-0.6604302563447018,4.568327161318976e-05,4,0.00048471315163763285
G_minus_B,osi_target_t01h,v18_rule,39051,Fulton County,2,143,0.0031341776116071266,0.0017682324578581535,0.0014046989100572076,-0.0008597604394357216,0.003084031215185283,0.0017324897711162056,0.0013601085406819214,-0.0008240177526937734,-5.014639642184375e-05,-1.5999857900883319,4.459036937528617e-05,4,0.00047311713258165253
