horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
24,39117,Morrow County,OH,4,120,0.011601216649319034,0.016150587329332458,0.007853281992798418,-0.004807080959944313,0.011330229924000883,0.00027098672531815013,2.391714264722178,-0.0007456941136454488
24,39119,Muskingum County,OH,1,120,0.025905892808609006,0.08053383386533677,0.015504588471141586,0.01546458847114159,0.02607074080881269,-0.00016484800020368298,-0.6323103797187035,0.0010281892930981695
24,42053,Forest County,PA,3,120,0.009304659872185933,0.010389203440448056,0.005512905393351436,-0.00023959135832076796,0.009420788088410027,-0.00011612821622409425,-1.232680484204518,0.0002609463443593342
24,54007,Braxton County,WV,4,120,0.024259049617138637,0.07062017859921531,0.013798940617752702,-0.012447912003894253,0.024531206107337403,-0.0002721564901987661,-1.1094297157992705,0.0015934301704648296
24,54013,Calhoun County,WV,2,120,0.04715451315168177,0.26682577326865553,0.0263580523865501,-0.023493972070597446,0.046786156192012304,0.00036835695966946913,0.7873204162310632,-0.00415244392185099
24,54015,Clay County,WV,2,120,0.052052268786963694,0.32513264230443784,0.028684620085773174,-0.02551497499592282,0.05244663794168919,-0.0003943691547254949,-0.7519436330007623,0.004945337461957966
24,54041,Lewis County,WV,4,120,0.015596697611268901,0.029190837165283326,0.0040759379718454955,-0.0032595796299820473,0.0159750068985108,-0.00037830928724189895,-2.36813223083594,0.0014332642836127965
24,54087,Roane County,WV,0,120,0.011610699682340745,0.016177001653620897,0.005374624705583245,-0.002839859503674957,0.010599423318769768,0.0010112763635709773,9.540862112565884,-0.002695268690763258
24,54109,Wyoming County,WV,3,120,0.010308591676024938,0.012752047481161275,0.007065785776384987,0.00706411910971832,0.01076216016428548,-0.0004535684882605428,-4.214474430195924,0.0011468434870467187
48,18013,Brown County,IN,1,96,0.017277270414225405,0.028656391004761774,0.008466917789019224,-0.002513611277888898,0.017277270414225405,0.0,0.0,0.0
48,39115,Morgan County,OH,2,96,0.03857661169085658,0.1428628770765247,0.008499269791595614,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0
48,39117,Morrow County,OH,4,96,0.006628136061367782,0.004217490014208386,0.0051148377071732485,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0
48,39119,Muskingum County,OH,1,96,0.013181015617519984,0.016678960580093348,0.007722300068009076,0.00762021673467574,0.013181015617519984,0.0,0.0,0.0
48,42053,Forest County,PA,3,96,0.007001260076209866,0.004705693694854097,0.005266083301553576,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0
48,54007,Braxton County,WV,4,96,0.029397763865082516,0.08296593794564652,0.017104824953474648,-0.01641818917286276,0.029397763865082516,0.0,0.0,0.0
48,54013,Calhoun County,WV,2,96,0.04949285046696422,0.23515605574514695,0.03043259025806112,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0
48,54015,Clay County,WV,2,96,0.05714943168179572,0.3135415239890147,0.03392082663725176,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0
48,54041,Lewis County,WV,4,96,0.017567719752645664,0.029627978621519675,0.005081478371005987,-0.0016478820491907728,0.017567719752645664,0.0,0.0,0.0
48,54087,Roane County,WV,0,96,0.011249179132386822,0.012148226990642604,0.006067371753508297,-0.0027458862348689016,0.011249179132386822,0.0,0.0,0.0
48,54109,Wyoming County,WV,3,96,0.009341167004440404,0.008376710496465226,0.005853276019426857,0.0058345260194268556,0.009341167004440404,0.0,0.0,0.0
