horizon,outer_fold,selection_type,allowed_folds,selected_alpha,alpha,n,rmse,mae,sse
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.2,26358,0.011034249551910836,0.003567793781756638,3.2092094119361927
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.35,26358,0.01098305580514016,0.0035802182835441188,3.1795000355945353
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.5,26358,0.011023486828301909,0.003615973934975768,3.2029519879410286
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,0.75,26358,0.01128452145761577,0.0037124200159971603,3.3564389096929648
osi_target_t06h,0,outer_train_inner_cv,"[1, 2, 3, 4]",0.35,1.0,26358,0.011765368685474847,0.003872340938672906,3.6485771642431994
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.0,26496,0.01033283848552819,0.0031714233686643877,2.8289130357476586
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.05,26496,0.010246976973341792,0.003145491788527066,2.7820942307948497
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.1,26496,0.010171635313795184,0.003126394193595318,2.741333522696572
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.2,26496,0.010051877196060275,0.003102783049080158,2.6771620709232704
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.35,26496,0.009947466447596594,0.003100452673175614,2.6218345428856855
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.5,26496,0.009937629079747426,0.0031368304726954906,2.616651474869097
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,0.75,26496,0.010119486800488615,0.003269374039055567,2.713296731237057
osi_target_t06h,1,outer_train_inner_cv,"[0, 2, 3, 4]",0.5,1.0,26496,0.010520578051874398,0.0034510415356956477,2.9326451772077227
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.0,26358,0.009652208664473834,0.0030742890541792392,2.455646551958848
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.05,26358,0.009617005303426079,0.003053298542109682,2.437766837339452
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.1,26358,0.009594235879464176,0.0030401429365224685,2.426237086516407
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.2,26358,0.009586534385372205,0.0030281519129787024,2.422343467234864
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.35,26358,0.009669008124844166,0.0030435086746970937,2.464201990162217
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.5,26358,0.009862397753141591,0.003101845335686003,2.563760671890419
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,0.75,26358,0.010408888765549722,0.0032746549229084225,2.8557565962626916
osi_target_t06h,2,outer_train_inner_cv,"[0, 1, 3, 4]",0.2,1.0,26358,0.011196649412050931,0.0035161831143124536,3.304369564450077
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.0,26358,0.009560860400937813,0.003231245604426011,2.409386140236767
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.05,26358,0.009499287734104796,0.003202200472810958,2.3784528091871624
osi_target_t06h,3,outer_train_inner_cv,"[0, 1, 2, 4]",0.2,0.1,26358,0.009452716952221444,0.0031801246476833482,2.3551889833339965
