horizon,fipsCode,outer_fold,n,base_sse,gat_sse,base_rmse,gat_rmse,gat_minus_base_sse,gat_better
osi_target_t06h,42063,2,138,0.006121285706289579,0.0062674578626262314,0.006660115824758593,0.0067391662187082525,0.0001461721563366528,False
osi_target_t06h,42065,0,138,0.007107430519458193,0.006098086819093236,0.007176567404143766,0.00664748335243989,-0.0010093437003649572,True
osi_target_t06h,42067,4,138,0.0005610664802442437,0.0005597570495550913,0.0020163578879268096,0.002014003600796781,-1.3094306891524299e-06,True
osi_target_t06h,42069,2,138,0.0007932240300450564,0.0007928347285837902,0.0023974987419637574,0.002396910343053357,-3.893014612662681e-07,True
osi_target_t06h,42075,1,138,0.005368898732323111,0.002987035437637057,0.006237392345981108,0.004652438535940407,-0.0023818632946860543,True
osi_target_t06h,42077,4,138,0.0015597742811268255,0.0007745007419910691,0.003361950651344907,0.0023690344483199453,-0.0007852735391357564,True
osi_target_t06h,42079,1,138,0.00018399424525949068,0.0005350402693352918,0.0011546824811675069,0.0019690361604044696,0.00035104602407580107,False
osi_target_t06h,42081,0,138,0.0005874244207255087,0.00036638534661049323,0.0020631768467364794,0.001629406726322861,-0.00022103907411501547,True
osi_target_t06h,42083,2,138,0.0030998762682611213,0.0035837206680773767,0.00473950118779799,0.005095977859879965,0.0004838443998162554,False
osi_target_t06h,42085,4,138,0.0022085416356802863,0.0022535090825071824,0.004000490581945414,0.00404101174957423,4.4967446826896153e-05,False
osi_target_t06h,42089,1,138,0.0035234662193073243,0.003144785461987792,0.005052955957459365,0.004773709296677679,-0.00037868075731953233,True
osi_target_t06h,42091,1,138,0.0013966548506916376,0.0013501865793774292,0.003181302771484105,0.0031279323394418717,-4.6468271314208326e-05,True
osi_target_t06h,42095,0,138,0.0014357618007250726,0.0008216126599430774,0.0032255342223803645,0.0024400235505264594,-0.0006141491407819953,True
osi_target_t06h,42097,3,138,0.0010402066281741664,0.0009571016929258825,0.002745492522238564,0.002633537452544708,-8.310493524828395e-05,True
osi_target_t06h,42101,0,138,0.0024505926761867105,0.0022258444093121352,0.004214014468814976,0.004016130888536385,-0.00022474826687457527,True
osi_target_t06h,42103,0,138,0.0011269002666224868,0.000602322239568696,0.002857611583303881,0.002089175413869809,-0.0005245780270537908,True
osi_target_t06h,42109,2,138,0.005091925324406314,0.0052388241574290555,0.0060743731855350475,0.00616137110507178,0.0001468988330227414,False
osi_target_t06h,42113,2,138,0.004338790150900963,0.00413396699524163,0.005607183637073254,0.005473233283372334,-0.00020482315565933332,True
osi_target_t06h,42115,3,138,0.0026177253587547924,0.0026265390524996884,0.0043553443421620345,0.0043626702470826685,8.813693744896042e-06,False
osi_target_t06h,42119,4,138,0.0012735869683966135,0.0013584081097624634,0.003037908997211368,0.003137441159171631,8.482114136584991e-05,False
osi_target_t06h,42121,1,138,0.02069934112013482,0.013763326593789526,0.012247253794554245,0.009986703694394574,-0.006936014526345293,True
osi_target_t06h,42125,4,138,0.019473755478856873,0.019367757887769784,0.011879148544262084,0.011846774736210092,-0.00010599759108708903,True
osi_target_t06h,42127,3,138,0.0006772755715879353,0.0006473332607610318,0.002215354147086651,0.0021658302634676627,-2.994231082690342e-05,True
osi_target_t06h,42129,3,138,0.002203276265625606,0.002518094725372052,0.003995718964187204,0.004271658135587832,0.00031481845974644634,False
osi_target_t06h,42131,3,138,0.036076937006166605,0.036706134009411695,0.016168706805271424,0.016309091891612795,0.0006291970032450897,False
osi_target_t06h,42133,3,138,0.0009691638747540118,0.0009848981425918744,0.0026500804947495954,0.002671505766840109,1.573426783786256e-05,False
osi_target_t06h,54007,4,138,0.08165908236391033,0.04631348958363784,0.02432555201630378,0.018319525020668054,-0.03534559278027249,True
osi_target_t06h,54009,0,138,0.06057966932225952,0.07267507396417604,0.02095192380262171,0.02294844157573448,0.012095404641916517,False
osi_target_t06h,54013,2,138,0.27116304951476633,0.22440304657266086,0.04432775241499363,0.04032504225831913,-0.04676000294210547,True
