split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction,focus_name
42,OSI,v18_rule,osi_target_t06h,E1_minus_E0,county,54013,1,Calhoun County,138,0.04400804701088603,0.022475217038699778,0.2672657318363049,-0.021077681527078267,0.04398206483402601,0.02251954637408682,0.26695023973489646,-0.02099687762654637,-2.5982176860020467e-05,-0.059039604401422974,0.0003154921014084655,106,0.21246593257430968,Calhoun WV
42,OSI,v18_rule,osi_target_t06h,E1_minus_E0,county,54015,1,Clay County,138,0.05095436736073405,0.027227700333022343,0.3582959623323042,-0.02507126856172618,0.050954870949031186,0.027235795181564545,0.35830304453367423,-0.02507545467443438,5.035882971390904e-07,0.0009883123336162924,-7.0822013700233555e-06,119,-0.00476945860781759,Clay WV
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,18013,1,Brown County,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.0,0.0,0.0,0,,Brown IN
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,39115,1,Morgan County,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.0,0.0,0.0,0,,Morgan OH
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,39117,1,Morrow County,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.0,0.0,0.0,0,,Morrow OH
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,39119,1,Muskingum County,120,0.027411772012177333,0.016428544370816933,0.09016862938171064,0.016398544370816937,0.027411772012177333,0.016428544370816933,0.09016862938171064,0.016398544370816937,0.0,0.0,0.0,0,,Muskingum OH
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,42053,1,Forest County,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.0,0.0,0.0,0,,Forest PA
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,54013,1,Calhoun County,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.0,0.0,0.0,0,,Calhoun WV
42,OSI,v18_rule,osi_target_t24h,E2_minus_E1,county,54015,1,Clay County,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.0,0.0,0.0,0,,Clay WV
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,18013,1,Brown County,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.0,0.0,0.0,0,,Brown IN
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,39115,1,Morgan County,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.0,0.0,0.0,0,,Morgan OH
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,39117,1,Morrow County,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.0,0.0,0.0,0,,Morrow OH
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,39119,1,Muskingum County,120,0.027411772012177333,0.016428544370816933,0.09016862938171064,0.016398544370816937,0.027411772012177333,0.016428544370816933,0.09016862938171064,0.016398544370816937,0.0,0.0,0.0,0,,Muskingum OH
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,42053,1,Forest County,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.0,0.0,0.0,0,,Forest PA
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,54013,1,Calhoun County,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.0,0.0,0.0,0,,Calhoun WV
42,OSI,v18_rule,osi_target_t24h,E2_minus_E0,county,54015,1,Clay County,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.0,0.0,0.0,0,,Clay WV
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,18013,1,Brown County,120,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.03153700980103376,0.01482460369417611,0.1193499584628599,-0.01075469130344238,0.0,0.0,0.0,0,,Brown IN
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,39115,1,Morgan County,120,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.034499643150416315,0.00721839044620487,0.1428270453007281,-0.006947427368440506,0.0,0.0,0.0,0,,Morgan OH
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,39117,1,Morrow County,120,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.010524015799697988,0.006757672471641796,0.013290589026275147,-0.002960359814500594,0.0,0.0,0.0,0,,Morrow OH
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,39119,1,Muskingum County,120,0.027411772012177333,0.016428544370816933,0.09016862938171064,0.016398544370816937,0.027411772012177333,0.016428544370816933,0.09016862938171064,0.016398544370816937,0.0,0.0,0.0,0,,Muskingum OH
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,42053,1,Forest County,120,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.009525734075397033,0.006175675980179049,0.01088875316102162,0.0005308360007856643,0.0,0.0,0.0,0,,Forest PA
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,54013,1,Calhoun County,120,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.04656351774043367,0.0256079315560903,0.2601793421236418,-0.02418148828489172,0.0,0.0,0.0,0,,Calhoun WV
42,OSI,v18_rule,osi_target_t24h,E1_minus_E0,county,54015,1,Clay County,120,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.05018563470760494,0.027917919091629478,0.3022317517206194,-0.023798649902942302,0.0,0.0,0.0,0,,Clay WV
42,OSI,v18_rule,osi_target_t48h,E2_minus_E1,county,18013,1,Brown County,96,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.017277270414225405,0.008466917789019224,0.028656391004761774,-0.002513611277888898,0.0,0.0,0.0,0,,Brown IN
42,OSI,v18_rule,osi_target_t48h,E2_minus_E1,county,39115,1,Morgan County,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.0,0.0,0.0,0,,Morgan OH
42,OSI,v18_rule,osi_target_t48h,E2_minus_E1,county,39117,1,Morrow County,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.0,0.0,0.0,0,,Morrow OH
42,OSI,v18_rule,osi_target_t48h,E2_minus_E1,county,39119,1,Muskingum County,96,0.013181015617519984,0.007722300068009076,0.016678960580093348,0.00762021673467574,0.013181015617519984,0.007722300068009076,0.016678960580093348,0.00762021673467574,0.0,0.0,0.0,0,,Muskingum OH
42,OSI,v18_rule,osi_target_t48h,E2_minus_E1,county,42053,1,Forest County,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.0,0.0,0.0,0,,Forest PA
42,OSI,v18_rule,osi_target_t48h,E2_minus_E1,county,54013,1,Calhoun County,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.0,0.0,0.0,0,,Calhoun WV
