split_seed,D_reference,domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,B,OSI,C0_direct_osi,osi_target_t48h,E2_minus_E1,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.0,0.0,0.0,0
42,B,OSI,C0_direct_osi,osi_target_t48h,E2_minus_E0,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.0,0.0,0.0,0
42,B,OSI,C0_direct_osi,osi_target_t48h,E1_minus_E0,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.0,0.0,0.0,0
42,B,OSI,C1_component_osi,osi_target_t48h,E2_minus_E1,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
42,B,OSI,C1_component_osi,osi_target_t48h,E2_minus_E0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
42,B,OSI,C1_component_osi,osi_target_t48h,E1_minus_E0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
42,B,OSI,C2_equal_blend,osi_target_t48h,E2_minus_E1,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.0,0.0,0.0,0
42,B,OSI,C2_equal_blend,osi_target_t48h,E2_minus_E0,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.0,0.0,0.0,0
42,B,OSI,C2_equal_blend,osi_target_t48h,E1_minus_E0,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.0,0.0,0.0,0
42,B,OSI,C3_aligned_component,osi_target_t48h,E2_minus_E1,22944,0.007743102713083763,0.00221729603601734,1.3756221955643775,-0.00013262761864765507,0.0077553023367515905,0.0022194744096616097,1.3799603256890398,-0.00012047498065460201,1.2199623667827515e-05,0.15755471830709578,-0.004338130124662332,9814
42,B,OSI,C3_aligned_component,osi_target_t48h,E2_minus_E0,22944,0.00773914813050702,0.0022166007425422933,1.3742174299043848,-0.00013045869446793218,0.0077553023367515905,0.0022194744096616097,1.3799603256890398,-0.00012047498065460201,1.6154206244570896e-05,0.20873364835714003,-0.005742895784655033,9817
42,B,OSI,C3_aligned_component,osi_target_t48h,E1_minus_E0,22944,0.00773914813050702,0.0022166007425422933,1.3742174299043848,-0.00013045869446793218,0.007743102713083763,0.00221729603601734,1.3756221955643775,-0.00013262761864765507,3.95458257674338e-06,0.051098422075090966,-0.0014047656599927016,7457
42,B,OSI,v18_rule,osi_target_t48h,E2_minus_E1,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
42,B,OSI,v18_rule,osi_target_t48h,E2_minus_E0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
42,B,OSI,v18_rule,osi_target_t48h,E1_minus_E0,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
20260917,B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E1,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
20260917,B,OSI,C0_direct_osi,osi_target_t01h,E2_minus_E0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
20260917,B,OSI,C0_direct_osi,osi_target_t01h,E1_minus_E0,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
