horizon,comparison,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct,mean_sse_reduction_diagnostic_only
osi_target_t01h,E1_minus_E0,18151,Steuben County,1,2,-1.16119309231707,0.47029018055471106,5.329566187235735e-05
osi_target_t01h,E1_minus_E0,18153,Sullivan County,0,2,0.0,3.845573078271136,-2.073254784525908e-05
osi_target_t01h,E1_minus_E0,18155,Switzerland County,1,2,-3.2817499468100864,0.5894045762628641,1.9088384118507622e-05
osi_target_t01h,E1_minus_E0,18157,Tippecanoe County,2,0,-2.8414630984951117,0.0,5.572777042723724e-06
osi_target_t01h,E1_minus_E0,18159,Tipton County,2,0,-0.20192209775771186,0.0,4.713459341928871e-06
osi_target_t01h,E1_minus_E0,18161,Union County,0,2,0.0,3.8587216783872336,-3.842743859021932e-05
osi_target_t01h,E1_minus_E0,18163,Vanderburgh County,0,2,0.0,3.305609605176496,-2.0572098117492185e-06
osi_target_t01h,E1_minus_E0,18165,Vermillion County,0,3,0.0861453248739874,0.5450151882134158,-0.00013515206561779541
osi_target_t01h,E1_minus_E0,18167,Vigo County,1,1,-1.0964830536789538,1.6613928436933767,-2.766297761650011e-09
osi_target_t01h,E1_minus_E0,18169,Wabash County,1,1,-0.11528285685640238,0.050608913226524166,7.930815060821746e-08
osi_target_t01h,E1_minus_E0,18171,Warren County,3,0,-1.48956790966579,-0.6460185687061637,4.1131967928164726e-05
osi_target_t01h,E1_minus_E0,18173,Warrick County,1,1,-0.29826046434071607,0.12855011768719837,2.170560669719488e-07
osi_target_t01h,E1_minus_E0,18175,Washington County,2,1,-1.2253683520440095,0.9302378790623456,1.7576151347898023e-05
osi_target_t01h,E1_minus_E0,18177,Wayne County,1,2,-1.4411222751433805,2.5798631400363314,-2.157507588629286e-05
osi_target_t01h,E1_minus_E0,18179,Wells County,1,2,-0.2840741278325454,0.23269242376005028,-3.3000757502345615e-06
osi_target_t01h,E1_minus_E0,18181,White County,0,2,0.0,7.692244657252378,-4.215460808922697e-05
osi_target_t01h,E1_minus_E0,18183,Whitley County,1,1,-0.4055871456707383,0.8399980687633812,-2.950590064795319e-06
osi_target_t01h,E1_minus_E0,39017,Butler County,1,0,-2.2310013383849747,0.0,1.415099154688912e-06
osi_target_t01h,E1_minus_E0,39023,Clark County,0,3,1.486685021556955,3.0248262428775874,-5.5360846536655836e-05
osi_target_t01h,E1_minus_E0,39025,Clermont County,3,0,-3.2251300064214505,-0.08961015964318308,1.3106249309410587e-05
osi_target_t01h,E1_minus_E0,39027,Clinton County,1,2,-2.125965515402517,3.9326497060761634,-1.2014791345621126e-06
osi_target_t01h,E1_minus_E0,39029,Columbiana County,0,3,0.1159607535190954,0.9485281102051157,-0.0001466920639587449
osi_target_t01h,E1_minus_E0,39031,Coshocton County,1,2,-1.2309219299013852,2.8354031270233726,-0.0003597154883279996
osi_target_t01h,E1_minus_E0,39033,Crawford County,0,3,0.09279708493135086,1.1698340627389614,-3.683631321458955e-05
osi_target_t01h,E1_minus_E0,39035,Cuyahoga County,2,1,-1.917665633195731,0.9314726990399702,2.952044425153418e-05
osi_target_t01h,E1_minus_E0,39037,Darke County,0,2,0.0,1.7107182370036833,-9.209418494454807e-06
osi_target_t01h,E1_minus_E0,39039,Defiance County,1,2,-2.741213934226827,0.8428952558356961,0.00010121795072434309
osi_target_t01h,E1_minus_E0,39045,Fairfield County,2,0,-2.4701867205959127,0.0,5.605223160861099e-05
osi_target_t01h,E1_minus_E0,39049,Franklin County,1,1,-2.182630479635528,5.554092330497107,-0.0001418550422180659
osi_target_t01h,E1_minus_E0,39051,Fulton County,1,1,-3.30325226152387,2.0067741650786175,3.325040331167486e-05
osi_target_t01h,E1_minus_E0,39053,Gallia County,1,1,-0.5080679831896417,0.5493995587426248,-2.398512978559614e-07
osi_target_t01h,E1_minus_E0,39055,Geauga County,1,2,-1.0692957853016494,0.8958518214625233,-7.595898128867166e-05
osi_target_t01h,E1_minus_E0,39059,Guernsey County,0,2,0.0,0.2570944119569152,-0.00018568415017160161
osi_target_t01h,E1_minus_E0,39061,Hamilton County,3,0,-1.5337341762116097,-0.3380031720727872,3.6261322341948757e-06
osi_target_t01h,E1_minus_E0,39063,Hancock County,0,3,0.6365230895059915,3.7472487854511405,-2.6455819889244594e-05
osi_target_t01h,E1_minus_E0,39065,Hardin County,0,1,0.0,3.828757902136193,-2.6235958592662962e-05
osi_target_t01h,E1_minus_E0,39069,Henry County,2,1,-1.8693207017885904,3.161266434548171,1.4098833141781987e-06
osi_target_t01h,E1_minus_E0,39073,Hocking County,1,1,-7.260041374373083,2.4411843923672683,-9.943323032984798e-06
osi_target_t01h,E1_minus_E0,39075,Holmes County,1,0,-4.578620673694289,0.0,0.00041914764121489187
osi_target_t01h,E1_minus_E0,39077,Huron County,1,1,-3.00098253742358,3.0365720077278446,2.368277571891328e-05
osi_target_t01h,E1_minus_E0,39081,Jefferson County,1,1,-1.2371861379511073,0.7228339264674144,4.8635141994629594e-05
osi_target_t01h,E1_minus_E0,39085,Lake County,2,1,-4.672961630626327,1.1772756933308592,3.565782958354378e-05
osi_target_t01h,E1_minus_E0,39087,Lawrence County,1,1,-0.31621516672853955,1.056945085765415,-1.0163627283159253e-05
osi_target_t01h,E1_minus_E0,39089,Licking County,3,0,-0.4695786277149394,-0.3498080076034471,0.0007737291947073344
osi_target_t01h,E1_minus_E0,39091,Logan County,2,0,-11.777380736113074,0.0,0.002031587111469594
osi_target_t01h,E1_minus_E0,39093,Lorain County,1,1,-3.3733878684733765,0.6111059369604099,3.135107575409042e-05
osi_target_t01h,E1_minus_E0,39095,Lucas County,1,2,-1.9954695963181779,10.641923659562181,-1.1332786100521372e-05
osi_target_t01h,E1_minus_E0,39097,Madison County,2,1,-1.8364708132124208,0.1951097505701327,0.00025724022140396173
osi_target_t01h,E1_minus_E0,39099,Mahoning County,1,1,-4.05462365160597,1.915387335194496,8.319106478840262e-06
osi_target_t01h,E1_minus_E0,39101,Marion County,0,3,0.48035094871516915,1.7732457489197717,-0.00015131131078357572
osi_target_t01h,E1_minus_E0,39103,Medina County,2,1,-1.6690172191484276,0.13754754717021367,0.00013720040472765845
osi_target_t01h,E1_minus_E0,39105,Meigs County,2,1,-1.3089412195907424,1.1831821133748477,9.517381916746828e-06
osi_target_t01h,E1_minus_E0,39107,Mercer County,0,1,0.0,0.0014326574652168134,-1.0831166396367091e-06
osi_target_t01h,E1_minus_E0,39109,Miami County,1,1,-0.4821941399121732,0.43234453862488476,3.188645624292632e-07
osi_target_t01h,E1_minus_E0,39111,Monroe County,1,2,-3.3064349521723546,2.6982661947061004,-0.0007490950611112624
osi_target_t01h,E1_minus_E0,39113,Montgomery County,1,2,-4.43902447151271,4.936830215819077,-5.682332870260137e-06
osi_target_t01h,E1_minus_E0,39115,Morgan County,0,2,0.0,0.03240510397710672,-6.024666525468921e-05
osi_target_t01h,E1_minus_E0,39117,Morrow County,0,3,0.047566518878960906,0.6087820201967631,-0.0016877589008355194
osi_target_t01h,E1_minus_E0,39119,Muskingum County,1,1,-0.5328204498357025,0.12835487917401966,0.0003156351629728475
osi_target_t01h,E1_minus_E0,39121,Noble County,1,2,-0.8914442884778939,1.703430298348918,-0.00014955990318334862
osi_target_t01h,E1_minus_E0,39123,Ottawa County,1,2,-0.8829214639145544,4.604609442085716,-1.3326870104422261e-05
osi_target_t01h,E1_minus_E0,39125,Paulding County,3,0,-1.53272376799094,-0.6288370220070671,0.0013148386784622944
osi_target_t01h,E1_minus_E0,39127,Perry County,2,1,-2.863507762468598,1.1235088883437827,0.0005084687922835528
osi_target_t01h,E1_minus_E0,39129,Pickaway County,2,1,-5.830719483818325,2.1083107265808865,3.212229146334905e-06
osi_target_t01h,E1_minus_E0,39131,Pike County,0,2,0.0,0.3812347493801882,-1.3792903669529571e-05
osi_target_t01h,E1_minus_E0,39133,Portage County,1,2,-0.783054617958856,1.9716595230905076,-6.0074539334295636e-05
osi_target_t01h,E1_minus_E0,39135,Preble County,2,1,-0.4745680737467395,0.11678348294035246,1.556815383458564e-05
osi_target_t01h,E1_minus_E0,39137,Putnam County,2,1,-3.6754048007022644,1.0150057761664222,0.0004012889873491945
osi_target_t01h,E1_minus_E0,39139,Richland County,2,1,-2.085574218932573,0.6763005308243697,0.00035673504661191843
osi_target_t01h,E1_minus_E0,39141,Ross County,0,2,0.0,2.393926844560035,-2.739286243782074e-05
osi_target_t01h,E1_minus_E0,39143,Sandusky County,1,2,-4.107802690424267,8.582104017708891,-2.1139680023020504e-05
osi_target_t01h,E1_minus_E0,39145,Scioto County,1,1,-5.7063863869568525,2.021262675825497,9.495601383080476e-06
osi_target_t01h,E1_minus_E0,39147,Seneca County,2,0,-2.48341488260283,0.0,1.4116912127776663e-05
osi_target_t01h,E1_minus_E0,39149,Shelby County,0,2,0.0,1.1025725927622299,-0.0007374174747138152
osi_target_t01h,E1_minus_E0,39151,Stark County,2,1,-3.18643947205266,1.0505376112232234,5.799375240649673e-05
osi_target_t01h,E1_minus_E0,39153,Summit County,2,1,-4.014417184623664,0.4953649974360319,0.00013880345651569155
osi_target_t01h,E1_minus_E0,39155,Trumbull County,1,1,-0.36011359519148023,1.042286261724712,-1.1303206050567357e-05
osi_target_t01h,E1_minus_E0,39157,Tuscarawas County,2,0,-1.4774014557020432,0.0,0.001080089441487908
osi_target_t01h,E1_minus_E0,39159,Union County,0,0,0.0,0.0,0.0
osi_target_t01h,E1_minus_E0,39161,Van Wert County,0,2,0.0,3.1504027020985204,-0.00023030207264573455
