case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,bootstrap_replicates,bootstrap_unit
G2,G1,G2_minus_G1,6,all,32982,0.00973088308677933,3.1230684048610704,0.0030965822396270344,-0.00010024611154832882,0.009903725060082268,-0.0001728419733029382,-1.7452218458647528,0.11193049944589761,-0.0004647406036764886,1.7603955609345483e-05,2000,county_full_trajectory
G2,G1,G2_minus_G1,6,test_like,22578,0.010344655473374369,2.416114607368621,0.0031126017115200026,-0.0003672630817215278,0.010594136687282372,-0.00024948121390800347,-2.354898952809348,0.11794375308748917,-0.0006326740809452525,-5.759739635842872e-06,2000,county_full_trajectory
G1,G0,G1_minus_G0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G1,G0,G1_minus_G0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G0,G2_minus_G0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G0,G2_minus_G0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G1,G2_minus_G1,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G1,G2_minus_G1,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G1,G0,G1_minus_G0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G1,G0,G1_minus_G0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G0,G2_minus_G0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G0,G2_minus_G0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
G2,G1,G2_minus_G1,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
