case,horizon,mode,n,rmse,sse,mae,bias
G0,24,C3_aligned_component,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05
G0,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G1,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
G1,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G1,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
G1,24,C3_aligned_component,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05
G1,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G2,24,C0_direct_osi,28680,0.00861830195271674,2.13021068676241,0.0028389953167640646,-8.851748810857948e-05
G2,24,C1_component_osi,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G2,24,C2_equal_blend,28680,0.008498369961264574,2.0713353345176695,0.0027820845436543028,-0.00010285886097246099
G2,24,C3_aligned_component,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05
G2,24,v18_rule,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05
G0,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
G0,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
G0,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
G0,48,C3_aligned_component,22944,0.0077211144981667885,1.3678205350481787,0.0021926775801264483,-0.0001324787250324035
G0,48,v18_rule,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
G1,48,C0_direct_osi,22944,0.007743302763035277,1.3756932773306025,0.002251557437795284,-0.00016308958938848276
G1,48,C1_component_osi,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873
G1,48,C2_equal_blend,22944,0.007702283879539482,1.3611568601934998,0.002225234652350598,-0.00016897742632658718
