case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G2,G0,G2_minus_G0,1,test_like_except_Forest,23174,0.009372404873216658,2.0356498847930977,0.0030810564879667802,-0.0003115027108370364,0.009369452013707842,2.9528595088153253e-06,0.0315158186892317,-0.0012824971376286243
G2,G0,G2_minus_G0,1,g_zero,18876,0.008492899830951866,1.3615135641382785,0.0023905997804453153,-0.00023095959361307865,0.008496257423859595,-3.357592907728829e-06,-0.039518493146173395,0.0010767375126692347
G2,G0,G2_minus_G0,1,g_positive,15301,0.012172959990060793,2.2673167912251184,0.004213106041372231,2.9642295724167097e-05,0.013169919912148127,-0.000996959922087334,-7.569977104930792,0.3865925500990284
G2,G0,G2_minus_G0,1,g_positive_low_early_damage,6006,0.0063074234702862695,0.23894024654610962,0.00195241991874884,0.0003837489217332281,0.006290008314549899,1.741515573637064e-05,0.27687015446524743,-0.0013176337358857815
G2,G1,G2_minus_G1,1,all,34177,0.010304249448688855,3.6288303553633976,0.0032065335457975323,-0.00011428845487213588,0.010844984572169597,-0.0005407351234807418,-4.986038660381098,0.39085274043248175
G2,G1,G2_minus_G1,1,early_73_95,5497,0.017285420440967186,1.642425321736071,0.005931778269101345,-0.0002552538276305078,0.019232490162611044,-0.0019470697216438584,-10.123856584255863,0.39085274043248264
G2,G1,G2_minus_G1,1,late_96_215,28680,0.00832231845317753,1.9864050336273262,0.002684194973830968,-8.727009176011457e-05,0.00832231845317753,0.0,0.0,0.0
G2,G1,G2_minus_G1,1,test_like,23317,0.011180954372581474,2.914945391476337,0.003242732526682901,-0.0004401299793371025,0.011903382073252186,-0.0007224277006707119,-6.069096129360263,0.3888521085213945
G2,G1,G2_minus_G1,1,not_test_like,10860,0.008107728640604227,0.7138849638870605,0.0031288124005577405,0.0005853107003718446,0.008119081472636777,-1.1352832032549692e-05,-0.139829019708837,0.002000631911087347
G2,G1,G2_minus_G1,1,all_except_Forest,34034,0.008988208060334874,2.7495348486801583,0.003096295049720845,-2.5336123138603998e-05,0.009040905870779518,-5.269781044464454e-05,-0.5828819722033085,0.03233552739067713
