case,reference,pair,horizon,space,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G2,G1,G2_minus_G1,6,aligned,all,32982,0.015298311072631503,7.719051925484839,0.004847145197469533,7.733552407006042e-05,0.01568300905227891,-0.00038469797964740815,-2.4529602601454092,0.3930943594198073
G2,G1,G2_minus_G1,6,aligned,early_73_95,4302,0.02447891984078014,2.5778337562899036,0.00903035895901818,-7.316445421969099e-05,0.026279123074333232,-0.0018002032335530903,-6.850316992926397,0.3930943594198073
G1,G0,G1_minus_G0,24,source,all,28680,0.013537162835787092,5.255747022790206,0.004315395510719358,3.316438469985352e-05,0.013537162835787092,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,source,early_73_95,0,,0.0,,,,,,0.0
G1,G0,G1_minus_G0,24,aligned,all,28680,0.013388855157949416,5.141218169194936,0.004219663133237236,9.991052081352315e-05,0.013388855157949416,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,aligned,early_73_95,0,,0.0,,,,,,0.0
G2,G0,G2_minus_G0,24,source,all,28680,0.013537162835787092,5.255747022790206,0.004315395510719358,3.316438469985352e-05,0.013537162835787092,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,source,early_73_95,0,,0.0,,,,,,0.0
G2,G0,G2_minus_G0,24,aligned,all,28680,0.013388855157949416,5.141218169194936,0.004219663133237236,9.991052081352315e-05,0.013388855157949416,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,aligned,early_73_95,0,,0.0,,,,,,0.0
G2,G1,G2_minus_G1,24,source,all,28680,0.013537162835787092,5.255747022790206,0.004315395510719358,3.316438469985352e-05,0.013537162835787092,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,source,early_73_95,0,,0.0,,,,,,0.0
G2,G1,G2_minus_G1,24,aligned,all,28680,0.013388855157949416,5.141218169194936,0.004219663133237236,9.991052081352315e-05,0.013388855157949416,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,aligned,early_73_95,0,,0.0,,,,,,0.0
G1,G0,G1_minus_G0,48,source,all,22944,0.01234645607437439,3.4974681259730933,0.0034840596165209028,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,source,early_73_95,0,,0.0,,,,,,0.0
G1,G0,G1_minus_G0,48,aligned,all,22944,0.012333810139773057,3.4903071881076975,0.0034430278074442707,6.740397172214066e-05,0.012333810139773057,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,aligned,early_73_95,0,,0.0,,,,,,0.0
G2,G0,G2_minus_G0,48,source,all,22944,0.01234645607437439,3.4974681259730933,0.0034840596165209028,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,source,early_73_95,0,,0.0,,,,,,0.0
G2,G0,G2_minus_G0,48,aligned,all,22944,0.012333810139773057,3.4903071881076975,0.0034430278074442707,6.740397172214066e-05,0.012333810139773057,0.0,0.0,0.0
G2,G0,G2_minus_G0,48,aligned,early_73_95,0,,0.0,,,,,,0.0
G2,G1,G2_minus_G1,48,source,all,22944,0.01234645607437439,3.4974681259730933,0.0034840596165209028,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,source,early_73_95,0,,0.0,,,,,,0.0
G2,G1,G2_minus_G1,48,aligned,all,22944,0.012333810139773057,3.4903071881076975,0.0034430278074442707,6.740397172214066e-05,0.012333810139773057,0.0,0.0,0.0
G2,G1,G2_minus_G1,48,aligned,early_73_95,0,,0.0,,,,,,0.0
