case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
G2,G1,G2_minus_G1,1,0,6864,0.00647972566359765,0.28819770185253596,0.002624135389081472,0.00010587637028328635,0.006531269849163119,-5.154418556546896e-05,-0.7891908733808295,0.0046032809709827816
G2,G1,G2_minus_G1,1,1,6721,0.009455626936885007,0.6009170876521142,0.0032760514582942913,-0.0005109161134556421,0.009561976435570283,-0.00010634949868527574,-1.1122125159152119,0.013593307082817474
G2,G1,G2_minus_G1,1,2,6864,0.01248865600010272,1.0705542529206211,0.0038129992499470623,-0.0006140747956499814,0.012513542746238256,-2.4886746135535306e-05,-0.19887850019945086,0.004270941232480618
G2,G1,G2_minus_G1,1,3,6864,0.013269801004618739,1.208665414771767,0.0034348419355294327,0.0004243903987927505,0.015108406194917023,-0.0018386051902982842,-12.169418577830216,0.35813825394839993
G2,G1,G2_minus_G1,1,4,6864,0.008190760846995514,0.46049589816635894,0.0028860879859790864,1.5018789448417392e-05,0.008281389878654689,-9.062903165917534e-05,-1.0943698218190634,0.010246957197800777
G1,G0,G1_minus_G0,6,0,6624,0.006336071621506998,0.26592580299914653,0.0025444393353609733,0.00021982883130718467,0.006388329605056966,-5.225798354996803e-05,-0.8180226566362636,0.0044046390670739455
G1,G0,G1_minus_G0,6,1,6486,0.009191097000696006,0.5479130487982533,0.003176168236829378,-0.00042608447258603706,0.009175530588236936,1.5566412459070214e-05,0.16965136031508177,-0.0018543636184469303
G1,G0,G1_minus_G0,6,2,6624,0.012544777718871086,1.0424284716572187,0.00377995314272985,-0.000718223294975743,0.012539288368735009,5.4893501360772645e-06,0.04377720628678805,-0.00091209314782148
G1,G0,G1_minus_G0,6,3,6624,0.01194582817947235,0.9452634193583829,0.0032449443966207875,0.0004701292608158871,0.012031875504081455,-8.604732460910404e-05,-0.7151613610024032,0.013666751078835637
G1,G0,G1_minus_G0,6,4,6624,0.008089439661803753,0.433468161493967,0.0028253779979936886,9.802153274437866e-05,0.007978413080888645,0.00011102658091510786,1.3915872716725897,-0.011816942777676698
G2,G0,G2_minus_G0,6,0,6624,0.0064318014398215655,0.27402209409878997,0.002560447511877827,0.0001404913875855671,0.006388329605056966,4.3471834764599246e-05,0.6804882880524277,-0.0036916520325694924
G2,G0,G2_minus_G0,6,1,6486,0.009170003968699072,0.5454010774897154,0.0031556617062654694,-0.000452684674462804,0.009175530588236936,-5.526619537864208e-06,-0.06023215207793253,0.0006576076900909333
G2,G0,G2_minus_G0,6,2,6624,0.01254763237715389,1.0429029504750564,0.0037668282836209213,-0.0007464261994913091,0.012539288368735009,8.344008418880583e-06,0.06654291833407822,-0.0013865719656591668
G2,G0,G2_minus_G0,6,3,6624,0.011246227810223566,0.83778788709137,0.003213031092864737,0.0004954786057423179,0.012031875504081455,-0.0007856476938578882,-6.529719274367329,0.12114228334584853
G2,G0,G2_minus_G0,6,4,6624,0.007990732816580404,0.42295439570613846,0.0027881734257278515,5.456785282386532e-05,0.007978413080888645,1.2319735691759467e-05,0.1544133597352726,-0.0013031769898481649
G2,G1,G2_minus_G1,6,0,6624,0.0064318014398215655,0.27402209409878997,0.002560447511877827,0.0001404913875855671,0.006336071621506998,9.572981831456728e-05,1.510870205280268,-0.008096291099643438
G2,G1,G2_minus_G1,6,1,6486,0.009170003968699072,0.5454010774897154,0.0031556617062654694,-0.000452684674462804,0.009191097000696006,-2.1093031996934422e-05,-0.22949417240768488,0.0025119713085378637
G2,G1,G2_minus_G1,6,2,6624,0.01254763237715389,1.0429029504750564,0.0037668282836209213,-0.0007464261994913091,0.012544777718871086,2.8546582828033185e-06,0.022755750215552872,-0.00047447881783768686
G2,G1,G2_minus_G1,6,3,6624,0.011246227810223566,0.83778788709137,0.003213031092864737,0.0004954786057423179,0.01194582817947235,-0.0006996003692487842,-5.856440915925565,0.1074755322670129
G2,G1,G2_minus_G1,6,4,6624,0.007990732816580404,0.42295439570613846,0.0027881734257278515,5.456785282386532e-05,0.008089439661803753,-9.87068452233484e-05,-1.220193849636042,0.010513765787828533
G1,G0,G1_minus_G0,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,1,5640,0.00870754418220506,0.4276322768636999,0.002810650932593464,-0.0005143658614579066,0.00870754418220506,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,2,5760,0.01297325098916932,0.9694381894731805,0.00381108437623181,-0.000954410874588216,0.01297325098916932,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,3,5760,0.006039680323082008,0.21011177321293814,0.0027556539418766286,0.0010092013127519961,0.006039680323082008,0.0,0.0,0.0
G1,G0,G1_minus_G0,24,4,5760,0.0073615990907342655,0.31215249315474947,0.0024693018439742496,-0.00032135511036152857,0.0073615990907342655,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,1,5640,0.00870754418220506,0.4276322768636999,0.002810650932593464,-0.0005143658614579066,0.00870754418220506,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,2,5760,0.01297325098916932,0.9694381894731805,0.00381108437623181,-0.000954410874588216,0.01297325098916932,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,3,5760,0.006039680323082008,0.21011177321293814,0.0027556539418766286,0.0010092013127519961,0.006039680323082008,0.0,0.0,0.0
G2,G0,G2_minus_G0,24,4,5760,0.0073615990907342655,0.31215249315474947,0.0024693018439742496,-0.00032135511036152857,0.0073615990907342655,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,0,5760,0.0045851814325180325,0.12109759931006277,0.0020526524421694164,0.00030927361909837347,0.0045851814325180325,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,1,5640,0.00870754418220506,0.4276322768636999,0.002810650932593464,-0.0005143658614579066,0.00870754418220506,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,2,5760,0.01297325098916932,0.9694381894731805,0.00381108437623181,-0.000954410874588216,0.01297325098916932,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,3,5760,0.006039680323082008,0.21011177321293814,0.0027556539418766286,0.0010092013127519961,0.006039680323082008,0.0,0.0,0.0
G2,G1,G2_minus_G1,24,4,5760,0.0073615990907342655,0.31215249315474947,0.0024693018439742496,-0.00032135511036152857,0.0073615990907342655,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,0,4608,0.0036632306388987446,0.06183594415303605,0.0015956445257807718,0.0004560453424232713,0.0036632306388987446,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,1,4512,0.005855181393125153,0.15468556894855234,0.0019970723373512436,-0.00027187300705922685,0.005855181393125153,0.0,0.0,0.0
G1,G0,G1_minus_G0,48,2,4608,0.013066410316828946,0.7867288100401179,0.0032591786642496433,-0.001280845725181886,0.013066410316828946,0.0,0.0,0.0
