model,horizon,target_day,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E2_profile_huber_all,osi_target_t48h,2026-03-18,0.005459286917946426,0.0009532145754058399,5736,-0.028800414462905932,0.0006252470849358559,0.00956980939534613,62.935843793584375
E2_profile_huber_all,osi_target_t48h,2026-03-19,0.0011502431642962858,0.0004872536417734061,5736,-0.49972272328198786,0.0003716554804052348,0.00457677586825826,72.1931659693166
E1_best_subset,osi_target_t01h,2026-03-14,0.021994943931641194,0.007384956698952442,5497,0.7889692431116001,0.019226144504406958,0.31542849066124673,34.291431690012736
E1_best_subset,osi_target_t01h,2026-03-15,0.01079979606983587,0.00515306849653947,5736,0.6034486504389742,0.007567052955545764,0.12476941140404182,29.864016736401673
E1_best_subset,osi_target_t01h,2026-03-16,0.010146199114003164,0.0047629261681484255,5736,0.2522663751021096,0.00529475386897318,0.05285292558534653,12.953277545327754
E1_best_subset,osi_target_t01h,2026-03-17,0.01079796767856487,0.0037578467552469453,5736,0.3813438113936143,0.00333459138240052,0.05604305897850909,44.03765690376569
E1_best_subset,osi_target_t01h,2026-03-18,0.00547767332294743,0.0008630883636148312,5736,-0.03574190517224318,0.0005453672894088897,0.014103905314986233,79.11436541143654
E1_best_subset,osi_target_t01h,2026-03-19,0.0011701374950120864,0.00033988186096447814,5736,-0.55204904654902,0.0002122934282022457,0.01707626778335287,89.38284518828452
E1_best_subset,osi_target_t06h,2026-03-14,0.018860242885441372,0.006939544435548182,4302,0.7977392972324977,0.01627134862876148,0.257321594928204,31.985123198512323
E1_best_subset,osi_target_t06h,2026-03-15,0.010931622052553784,0.005001227521292786,5736,0.593708685177917,0.007039329104502531,0.15798418564320596,27.02231520223152
E1_best_subset,osi_target_t06h,2026-03-16,0.010205092319820698,0.004486394350321626,5736,0.24356080297244442,0.004738228185566162,0.05106588041312794,13.127615062761505
E1_best_subset,osi_target_t06h,2026-03-17,0.010663429989437596,0.0035542514566010036,5736,0.39666411179281624,0.002996365041980231,0.05135753027818658,42.81729428172943
E1_best_subset,osi_target_t06h,2026-03-18,0.005473942360683405,0.0008738798549318489,5736,-0.03433145306908414,0.0005418461651171155,0.01443719888225434,78.53905160390516
E1_best_subset,osi_target_t06h,2026-03-19,0.001164735112905132,0.0003669566909362961,5736,-0.5377508870214904,0.0002460699181977049,0.006546481164006671,87.86610878661088
E1_best_subset,osi_target_t24h,2026-03-15,0.010832771758444,0.005049042974148274,5736,0.6010233236156064,0.006567643895545322,0.12134283903376612,22.629009762900974
E1_best_subset,osi_target_t24h,2026-03-16,0.009995283509879277,0.004472939694866688,5736,0.2743446802621108,0.004515548214114612,0.04965268491787609,11.976987447698745
E1_best_subset,osi_target_t24h,2026-03-17,0.01007117339121461,0.0035379121613805893,5736,0.4618225934324166,0.0031471396759375895,0.0566690082601248,37.41283124128312
E1_best_subset,osi_target_t24h,2026-03-18,0.005447482056982836,0.0010073280025453568,5736,-0.024355982301012213,0.0007429814114760454,0.009191498178656936,65.95188284518828
E1_best_subset,osi_target_t24h,2026-03-19,0.0013261408389762042,0.0006273464236149196,5736,-0.9934757125800766,0.0005333602467336527,0.008991409124329858,73.36122733612274
E1_best_subset,osi_target_t48h,2026-03-16,0.009668364752292201,0.004268932327523758,5736,0.3210368532665473,0.004254291133916756,0.06182155251447259,12.709205020920503
E1_best_subset,osi_target_t48h,2026-03-17,0.010308412060391837,0.003567292031476394,5736,0.4361691221270053,0.0030559830301036092,0.06225349433347234,34.7629009762901
