feature_set,component,candidate,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
base,D_t,l2,osi_target_t48h,0.010598166807220042,0.003614442225445917,22944,0.41522853303749097,0.0034381642563313638,0.09227735207546728,8.21565550906555
base,D_t,weighted_l2,osi_target_t01h,0.017267496558908028,0.00563548903559678,34177,0.7695748681026329,0.00975442686310278,0.49764025088156877,20.390906164964743
base,D_t,weighted_l2,osi_target_t06h,0.01654689824508762,0.005642612988636277,32982,0.7168504637243198,0.008604526053089857,0.44605093752447067,18.943666242192712
base,D_t,weighted_l2,osi_target_t24h,0.012356837589793699,0.005171179036664017,28680,0.48809288233167614,0.0059074820306104815,0.2051219290952535,16.56555090655509
base,D_t,weighted_l2,osi_target_t48h,0.010963346349841257,0.004237165334659657,22944,0.37423547207292096,0.004341117500376759,0.08805301262783045,7.021443514644352
base,R_t,huber,osi_target_t01h,0.004083139896598338,0.00112588053583681,34177,0.15677288387587374,0.000939354323640851,0.020959668181055095,11.858852444626503
base,R_t,huber,osi_target_t06h,0.004051399038536567,0.0011060740219348505,32982,0.14464903894842018,0.0009127543030404977,0.02328852834211107,12.155114911163665
base,R_t,huber,osi_target_t24h,0.0034468815271313288,0.0009254091468686018,28680,0.07772803345580226,0.0006801206677840328,0.012742973201506785,7.374476987447699
base,R_t,huber,osi_target_t48h,0.003280293626646243,0.0007568025942804183,22944,0.05534390980164716,0.0005289369939892177,0.0117225922546945,5.129881450488145
base,R_t,tweedie,osi_target_t01h,0.004085865198838711,0.0008756241060697857,34177,0.15564688000326066,0.0005586553546237033,0.020544196408552835,0.0
base,R_t,tweedie,osi_target_t06h,0.004044846333153462,0.0008538637120126008,32982,0.14741367909373326,0.0005537143598703079,0.017606193178804266,0.0
base,R_t,tweedie,osi_target_t24h,0.003475774998975908,0.0007012108833270135,28680,0.062201346068032515,0.0003696263686395291,0.012348436940652624,0.0
base,R_t,tweedie,osi_target_t48h,0.003284767973904617,0.0005875788523124707,22944,0.052765115029871135,0.0002829801335065957,0.011525731296205639,0.0
base,R_t,hurdle,osi_target_t01h,0.004157965024990978,0.000859945265390407,34177,0.1255847810003834,0.0004841300393354751,0.01629942373219793,0.0
base,R_t,hurdle,osi_target_t06h,0.004123591563131673,0.0008289554989344232,32982,0.11389417587294515,0.0004465506955045038,0.01241171828690885,0.0
