feature_set,component,candidate,horizon,fold,rmse,mae,n,best_rounds,train_q95,classification_rounds,magnitude_rounds,positive_train_rows,positive_valid_rows
base,N_t,hurdle,osi_target_t24h,4,0.0038095518668670916,0.0006454084133110262,5760,,,160.0,134.0,9077.0,2220.0
base,N_t,hurdle,osi_target_t48h,0,0.0014367899616650472,0.0002505533230524996,4608,,,80.0,632.0,7041.0,1628.0
base,N_t,hurdle,osi_target_t48h,1,0.002372503999889217,0.00046991128004008053,4512,,,94.0,20.0,6722.0,1947.0
base,N_t,hurdle,osi_target_t48h,2,0.006336618980753542,0.0006897798865229942,4608,,,115.0,542.0,6969.0,1700.0
base,N_t,hurdle,osi_target_t48h,3,0.0020265804953539172,0.0005095064732759323,4608,,,122.0,8.0,7000.0,1669.0
base,N_t,hurdle,osi_target_t48h,4,0.002734677897563769,0.00042644413862471316,4608,,,115.0,180.0,6944.0,1725.0
base,D_t,l2,osi_target_t01h,0,0.010282553637607862,0.004147045748615825,6864,280.0,,,,,
base,D_t,l2,osi_target_t01h,1,0.015256295067641595,0.005593673605025479,6721,202.0,,,,,
base,D_t,l2,osi_target_t01h,2,0.018834209525865283,0.006277046827891194,6864,239.0,,,,,
base,D_t,l2,osi_target_t01h,3,0.022614949125621224,0.005725936790461911,6864,651.0,,,,,
base,D_t,l2,osi_target_t01h,4,0.016399196248361152,0.004911661639405116,6864,392.0,,,,,
base,D_t,l2,osi_target_t06h,0,0.00995014886504839,0.004147343693323139,6624,137.0,,,,,
base,D_t,l2,osi_target_t06h,1,0.015255006800440542,0.005476382309941832,6486,167.0,,,,,
base,D_t,l2,osi_target_t06h,2,0.01856108892734326,0.006165192577975334,6624,582.0,,,,,
base,D_t,l2,osi_target_t06h,3,0.02120954843026232,0.005590205304766087,6624,211.0,,,,,
base,D_t,l2,osi_target_t06h,4,0.013632934608725727,0.004671188694960512,6624,194.0,,,,,
base,D_t,l2,osi_target_t24h,0,0.006885378156272365,0.0030915450331620883,5760,142.0,,,,,
base,D_t,l2,osi_target_t24h,1,0.01231316338316397,0.005421112060872019,5640,10.0,,,,,
base,D_t,l2,osi_target_t24h,2,0.017905678571291335,0.005841820629513957,5760,358.0,,,,,
base,D_t,l2,osi_target_t24h,3,0.00822911235394404,0.0042375523100124,5760,43.0,,,,,
base,D_t,l2,osi_target_t24h,4,0.009573150249869497,0.003647823085210612,5760,443.0,,,,,
base,D_t,l2,osi_target_t48h,0,0.005502413406925533,0.002606667504465949,4608,229.0,,,,,
base,D_t,l2,osi_target_t48h,1,0.008283429553680364,0.003744308563220699,4512,15.0,,,,,
base,D_t,l2,osi_target_t48h,2,0.01766884289396775,0.004987042894012323,4608,787.0,,,,,
base,D_t,l2,osi_target_t48h,3,0.007244202027281752,0.0034561232064984734,4608,33.0,,,,,
base,D_t,l2,osi_target_t48h,4,0.009855806784372015,0.003280774507735782,4608,180.0,,,,,
base,D_t,weighted_l2,osi_target_t01h,0,0.010186761248446731,0.004328187889768964,6864,352.0,0.045552919599999984,,,,
base,D_t,weighted_l2,osi_target_t01h,1,0.01568185588725225,0.005931004748138283,6721,442.0,0.04453943925,,,,
base,D_t,weighted_l2,osi_target_t01h,2,0.017955292255229512,0.0064253854707272,6864,119.0,0.0429755666,,,,
base,D_t,weighted_l2,osi_target_t01h,3,0.02314382602843743,0.006188865021563317,6864,245.0,0.04804944279999996,,,,
base,D_t,weighted_l2,osi_target_t01h,4,0.01679356484465095,0.00531015862513075,6864,127.0,0.04393089479999998,,,,
base,D_t,weighted_l2,osi_target_t06h,0,0.01039016644015562,0.004822123327829682,6624,133.0,0.038910470999999835,,,,
