feature_set,component,candidate,horizon,rmse,mae,n,best_rounds,final_rounds,fold_train_q95,final_train_q95,classification_rounds,magnitude_rounds,final_classification_rounds,final_magnitude_rounds,positive_rows
base,D_t,l2,osi_target_t01h,0.017174857982931127,0.005329974174653355,34177,"[280, 202, 239, 651, 392]",352.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,D_t,l2,osi_target_t06h,0.016202205544816124,0.005208948207432927,32982,"[137, 167, 582, 211, 194]",258.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,D_t,l2,osi_target_t24h,0.011650479869733367,0.004443898902259999,28680,"[142, 10, 358, 43, 443]",199.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,D_t,l2,osi_target_t48h,0.010598166807220042,0.003614442225445917,22944,"[229, 15, 787, 33, 180]",248.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,D_t,weighted_l2,osi_target_t01h,0.017267496558908028,0.00563548903559678,34177,"[352, 442, 119, 245, 127]",257.0,"[0.045552919599999984, 0.04453943925, 0.0429755666, 0.04804944279999996, 0.04393089479999998]",0.044882650999999975,,,,,
base,D_t,weighted_l2,osi_target_t06h,0.01654689824508762,0.005642612988636277,32982,"[133, 113, 215, 180, 507]",229.0,"[0.038910470999999835, 0.037407975999999996, 0.03575997899999987, 0.040035972699999936, 0.037254300099999985]",0.03776069434999997,,,,,
base,D_t,weighted_l2,osi_target_t24h,0.012356837589793699,0.005171179036664017,28680,"[660, 12, 428, 980, 325]",481.0,"[0.023282400449999973, 0.02259195664999997, 0.021771828149999995, 0.02449626554999999, 0.022685149699999997]",0.022879899749999995,,,,,
base,D_t,weighted_l2,osi_target_t48h,0.010963346349841257,0.004237165334659657,22944,"[56, 49, 166, 26, 232]",105.0,"[0.016273621749999998, 0.015708379650000003, 0.0149105565, 0.01555112225, 0.01573007075]",0.01568839739999998,,,,,
base,R_t,tweedie,osi_target_t01h,0.004085865198838711,0.0008756241060697857,34177,"[305, 123, 200, 104, 108]",168.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,R_t,tweedie,osi_target_t06h,0.004044846333153462,0.0008538637120126008,32982,"[202, 151, 93, 96, 121]",132.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,R_t,tweedie,osi_target_t24h,0.003475774998975908,0.0007012108833270135,28680,"[156, 80, 169, 91, 94]",118.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,R_t,tweedie,osi_target_t48h,0.003284767973904617,0.0005875788523124707,22944,"[115, 72, 97, 27, 148]",91.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
base,R_t,hurdle,osi_target_t01h,0.004157965024990978,0.000859945265390407,34177,,,,,"[182, 165, 200, 130, 261]","[230, 99, 109, 168, 114]",187.0,144.0,16878.0
base,R_t,hurdle,osi_target_t06h,0.004123591563131673,0.0008289554989344232,32982,,,,,"[154, 150, 233, 168, 159]","[136, 115, 97, 154, 80]",172.0,116.0,16236.0
base,R_t,hurdle,osi_target_t24h,0.003468476170937389,0.0006948879276484798,28680,,,,,"[232, 166, 172, 134, 247]","[130, 10, 260, 51, 140]",190.0,118.0,13552.0
base,R_t,hurdle,osi_target_t48h,0.0032937924323971557,0.0005748741375332367,22944,,,,,"[137, 132, 168, 95, 118]","[119, 43, 244, 11, 50]",130.0,93.0,10424.0
profile,P_t,huber,osi_target_t01h,0.01916478173682131,0.005796082580071292,34177,"[147, 43, 243, 388, 464]",257.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,huber,osi_target_t06h,0.01644360079150773,0.005392674623996922,32982,"[175, 31, 700, 109, 425]",288.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,huber,osi_target_t24h,0.013794760267163498,0.004707548334199584,28680,"[200, 11, 537, 38, 409]",239.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,huber,osi_target_t48h,0.012377525851893879,0.003640189190361839,22944,"[309, 15, 447, 25, 180]",195.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,l2,osi_target_t01h,0.019083070507231285,0.005774322923085986,34177,"[145, 43, 216, 388, 140]",186.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,l2,osi_target_t06h,0.01644360079150773,0.005392674623996922,32982,"[175, 31, 700, 109, 425]",288.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,l2,osi_target_t24h,0.013794760267163498,0.004707548334199584,28680,"[200, 11, 537, 38, 409]",239.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,l2,osi_target_t48h,0.012377525851893879,0.003640189190361839,22944,"[309, 15, 447, 25, 180]",195.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,P_t,weighted_l2,osi_target_t01h,0.019386908008963234,0.006527080391901952,34177,"[95, 67, 101, 352, 232]",169.0,"[0.042559359799999946, 0.04184933575, 0.040003796199999886, 0.043476921999999994, 0.04180986039999986]",0.041948447,,,,,
profile,P_t,weighted_l2,osi_target_t06h,0.016789485489473843,0.006029572026791224,32982,"[206, 55, 315, 112, 180]",173.0,"[0.03566994304999992, 0.034185903499999996, 0.03200717899999994, 0.03607305154999982, 0.03441929]",0.03441795089999992,,,,,
profile,P_t,weighted_l2,osi_target_t24h,0.014447588007035288,0.005945166190168833,28680,"[112, 17, 416, 27, 144]",143.0,"[0.02316009814999999, 0.022516476299999987, 0.021759778599999988, 0.023205545499999997, 0.022708591899999995]",0.022742339099999998,,,,,
profile,P_t,weighted_l2,osi_target_t48h,0.01258168819856914,0.004338104607984575,22944,"[161, 35, 284, 20, 98]",119.0,"[0.014525994, 0.01425066785000005, 0.01271782075, 0.0141162935, 0.0141162935]",0.01397942999999997,,,,,
profile,N_t,huber,osi_target_t01h,0.00426717822943568,0.000898513208529479,34177,"[29, 300, 136, 191, 238]",178.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,huber,osi_target_t06h,0.0037204715240219317,0.0008318029102561705,32982,"[31, 96, 414, 25, 85]",130.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,huber,osi_target_t24h,0.0037575952851821234,0.0008676936587161204,28680,"[27, 160, 435, 21, 84]",145.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,huber,osi_target_t48h,0.00344272859769716,0.0006541962379911719,22944,"[123, 47, 696, 14, 63]",188.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,tweedie,osi_target_t01h,0.0043545048814326425,0.0006437139429706772,34177,"[302, 144, 124, 79, 191]",168.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,tweedie,osi_target_t06h,0.0037573895751643396,0.0006080817217072388,32982,"[401, 89, 89, 194, 239]",202.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,tweedie,osi_target_t24h,0.0037842271126756074,0.0006260499888111542,28680,"[280, 121, 204, 72, 129]",161.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,tweedie,osi_target_t48h,0.003458927998238228,0.00047813322810572235,22944,"[184, 54, 245, 38, 110]",126.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,N_t,hurdle,osi_target_t01h,0.004400451306274523,0.0006410844175971274,34177,,,,,"[87, 113, 209, 115, 156]","[77, 103, 204, 82, 167]",136.0,126.0,13456.0
profile,N_t,hurdle,osi_target_t06h,0.0037789629920565175,0.0006045565106610545,32982,,,,,"[115, 84, 150, 148, 178]","[105, 71, 175, 87, 343]",135.0,156.0,13006.0
profile,N_t,hurdle,osi_target_t24h,0.0038305198143522476,0.0006212900002870171,28680,,,,,"[159, 115, 205, 94, 147]","[286, 116, 114, 35, 67]",144.0,123.0,11297.0
profile,N_t,hurdle,osi_target_t48h,0.003471370417611952,0.000473330507245457,22944,,,,,"[112, 87, 95, 120, 114]","[208, 20, 590, 6, 279]",105.0,220.0,8669.0
profile,D_t,huber,osi_target_t01h,0.017349839511146076,0.005373809372483597,34177,"[119, 324, 590, 260, 353]",329.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,huber,osi_target_t06h,0.01610495862636507,0.005363278102154488,32982,"[174, 36, 560, 417, 345]",306.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,huber,osi_target_t24h,0.011965426954501864,0.004353751551873088,28680,"[180, 14, 578, 47, 316]",227.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,huber,osi_target_t48h,0.010870149743212584,0.00364263378441374,22944,"[349, 14, 578, 21, 191]",230.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,l2,osi_target_t01h,0.017349839511146076,0.005373809372483597,34177,"[119, 324, 590, 260, 353]",329.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,l2,osi_target_t06h,0.01610495862636507,0.005363278102154488,32982,"[174, 36, 560, 417, 345]",306.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,l2,osi_target_t24h,0.011965426954501864,0.004353751551873088,28680,"[180, 14, 578, 47, 316]",227.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,l2,osi_target_t48h,0.010870149743212584,0.00364263378441374,22944,"[349, 14, 578, 21, 191]",230.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,D_t,weighted_l2,osi_target_t01h,0.01739762394529831,0.005780262470176347,34177,"[183, 435, 60, 650, 440]",353.0,"[0.045552919599999984, 0.04453943925, 0.0429755666, 0.04804944279999996, 0.04393089479999998]",0.044882650999999975,,,,,
profile,D_t,weighted_l2,osi_target_t06h,0.01652061561018357,0.005721589470288602,32982,"[99, 129, 140, 469, 131]",193.0,"[0.038910470999999835, 0.037407975999999996, 0.03575997899999987, 0.040035972699999936, 0.037254300099999985]",0.03776069434999997,,,,,
profile,D_t,weighted_l2,osi_target_t24h,0.012618879798332726,0.004701011481581776,28680,"[658, 125, 580, 64, 273]",340.0,"[0.023282400449999973, 0.02259195664999997, 0.021771828149999995, 0.02449626554999999, 0.022685149699999997]",0.022879899749999995,,,,,
profile,D_t,weighted_l2,osi_target_t48h,0.011074294990223554,0.004069749285918697,22944,"[1259, 159, 172, 20, 214]",364.0,"[0.016273621749999998, 0.015708379650000003, 0.0149105565, 0.01555112225, 0.01573007075]",0.01568839739999998,,,,,
profile,R_t,huber,osi_target_t01h,0.0040717591372742565,0.0011240410670111981,34177,"[37, 138, 143, 76, 296]",138.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,huber,osi_target_t06h,0.004047605959615675,0.0010794342299836391,32982,"[39, 105, 100, 54, 187]",97.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,huber,osi_target_t24h,0.0034564120045368556,0.0009238546623329639,28680,"[22, 111, 168, 12, 91]",80.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,huber,osi_target_t48h,0.0032859819781058015,0.0007747472665703457,22944,"[19, 50, 116, 14, 100]",59.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,tweedie,osi_target_t01h,0.004104158114905839,0.000872120826487839,34177,"[225, 209, 133, 111, 106]",156.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,tweedie,osi_target_t06h,0.00407347796515912,0.0008489841214453619,32982,"[156, 170, 108, 101, 87]",124.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,tweedie,osi_target_t24h,0.003465202973242719,0.000687284248768108,28680,"[162, 110, 135, 144, 118]",133.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,tweedie,osi_target_t48h,0.0032971302643091103,0.000575133782253068,22944,"[170, 87, 90, 41, 138]",105.0,"[NaN, NaN, NaN, NaN, NaN]",,,,,,
profile,R_t,hurdle,osi_target_t01h,0.004165670064101566,0.0008587230224481054,34177,,,,,"[178, 200, 285, 134, 195]","[310, 120, 186, 145, 111]",198.0,174.0,16878.0
profile,R_t,hurdle,osi_target_t06h,0.004128218327559594,0.0008258514017187019,32982,,,,,"[157, 130, 252, 153, 309]","[147, 178, 149, 102, 86]",200.0,132.0,16236.0
profile,R_t,hurdle,osi_target_t24h,0.00348623732065957,0.0007032947526529235,28680,,,,,"[146, 199, 168, 89, 176]","[245, 10, 114, 35, 115]",155.0,103.0,13552.0
profile,R_t,hurdle,osi_target_t48h,0.003302335378728354,0.0005796451280671146,22944,,,,,"[133, 142, 98, 88, 121]","[119, 18, 139, 8, 79]",116.0,72.0,10424.0
