horizon,feature_set,component,candidate,key,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,rmse_change_vs_E0_pct
osi_target_t01h,profile,R_t,tweedie,profile__R_t__tweedie__osi_target_t01h,0.011870025963773005,0.0035474521513552174,34177,0.7283423195892229,0.005664463227573066,0.2926549077095996,51.13380343505867,0.038758397290350466
osi_target_t01h,profile,R_t,hurdle,profile__R_t__hurdle__osi_target_t01h,0.011866052854060762,0.0035490777321654913,34177,0.7285241465097254,0.005671768790086802,0.29280009694436665,51.07235860373935,0.00527363796445357
osi_target_t06h,base,P_t,huber,base__P_t__huber__osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,0.0
osi_target_t06h,base,P_t,l2,base__P_t__l2__osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,0.0
osi_target_t06h,base,P_t,weighted_l2,base__P_t__weighted_l2__osi_target_t06h,0.010620215756156126,0.0036570490492909167,32982,0.6941621356578904,0.005314723353621193,0.26814156284255236,43.93305439330544,1.0240515497215386
osi_target_t06h,base,N_t,huber,base__N_t__huber__osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,0.0
osi_target_t06h,base,N_t,tweedie,base__N_t__tweedie__osi_target_t06h,0.010521936167580938,0.0033371819121035193,32982,0.6997963983511208,0.004734849414549461,0.257410652750843,49.3117458007398,0.08917391159539712
osi_target_t06h,base,N_t,hurdle,base__N_t__hurdle__osi_target_t06h,0.010527586051704244,0.003329665902310177,32982,0.69947391569948,0.004710421521365522,0.2573348599844972,49.50275908071069,0.14291803488140076
osi_target_t06h,base,D_t,huber,base__D_t__huber__osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,0.0
osi_target_t06h,base,D_t,l2,base__D_t__l2__osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,0.0
osi_target_t06h,base,D_t,weighted_l2,base__D_t__weighted_l2__osi_target_t06h,0.010550593101323044,0.0034927580266418752,32982,0.6981589373774695,0.005007587396420257,0.2625675717854803,45.05791037535625,0.3617709678219949
osi_target_t06h,base,R_t,huber,base__R_t__huber__osi_target_t06h,0.010512561705099621,0.003389107513172991,32982,0.7003310896258659,0.004828756502075626,0.257321594928204,47.541083014977865,0.0
osi_target_t06h,base,R_t,tweedie,base__R_t__tweedie__osi_target_t06h,0.010517676489247842,0.0034078499401342067,32982,0.7000394167290453,0.004862325564157923,0.25726147293647644,47.07719362076284,0.04865402260363361
osi_target_t06h,base,R_t,hurdle,base__R_t__hurdle__osi_target_t06h,0.01051379097673492,0.0034117069114940712,32982,0.7002610028022134,0.004873152200237119,0.2576487123049928,47.01655448426415,0.011693359523423652
osi_target_t06h,profile,P_t,huber,profile__P_t__huber__osi_target_t06h,0.010431361002815154,0.003358010082798622,32982,0.7049425914483365,0.004858279826410765,0.2625449995059635,46.834637074768054,-0.7724159397330954
osi_target_t06h,profile,P_t,l2,profile__P_t__l2__osi_target_t06h,0.010431361002815154,0.003358010082798622,32982,0.7049425914483365,0.004858279826410765,0.2625449995059635,46.834637074768054,-0.7724159397330954
osi_target_t06h,profile,P_t,weighted_l2,profile__P_t__weighted_l2__osi_target_t06h,0.010518026268838436,0.0036067341669980472,32982,0.7000194652055796,0.005276614260099676,0.26706850133587595,44.172578982475294,0.05198127623036175
osi_target_t06h,profile,N_t,huber,profile__N_t__huber__osi_target_t06h,0.010515363546912548,0.0033866320026175105,32982,0.7001713308921831,0.004824895817950517,0.2577877300189664,47.726032381298886,0.02665232216014779
osi_target_t06h,profile,N_t,tweedie,profile__N_t__tweedie__osi_target_t06h,0.010526720121124088,0.003333107454765306,32982,0.6995233522982683,0.0047240642483159226,0.25742327493471223,49.46940755563641,0.13468093145745375
osi_target_t06h,profile,N_t,hurdle,profile__N_t__hurdle__osi_target_t06h,0.010527683239062413,0.003332036629354881,32982,0.6994683669495828,0.004714960092855209,0.25738355372231797,49.490631253410946,0.14384252275501108
osi_target_t06h,profile,D_t,huber,profile__D_t__huber__osi_target_t06h,0.0104560058381291,0.003449734255598496,32982,0.703546756115667,0.004901894584856599,0.260954961823739,41.131526287065675,-0.5379836861560183
osi_target_t06h,profile,D_t,l2,profile__D_t__l2__osi_target_t06h,0.0104560058381291,0.003449734255598496,32982,0.703546756115667,0.004901894584856599,0.260954961823739,41.131526287065675,-0.5379836861560183
osi_target_t06h,profile,D_t,weighted_l2,profile__D_t__weighted_l2__osi_target_t06h,0.010509529182818927,0.003497669360643695,32982,0.700503953595784,0.005032909191044387,0.2594523747271105,44.00885331392881,-0.02884665380107343
osi_target_t06h,profile,R_t,huber,profile__R_t__huber__osi_target_t06h,0.010514284736227337,0.003391476680977144,32982,0.7002328488374482,0.004830913319706461,0.2572668964817169,47.48953974895397,0.01639021178709843
