model,horizon,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct,family,mask,components_replaced
E3_subset_1101,osi_target_t06h,0.010445050188700277,0.0033253659000769898,32982,0.7041676693676097,0.004801960076517286,0.26311684270183133,47.91704566126979,E3,1101,P_t+N_t+R_t
E3_subset_1110,osi_target_t06h,0.010469753180916822,0.0034065170368110386,32982,0.7027667023202072,0.00484426615984387,0.2662800464080068,41.968346370747675,E3,1110,P_t+N_t+D_t
E3_subset_1111,osi_target_t06h,0.01047012107282055,0.003428376960669761,32982,0.7027458132614032,0.0048884264325108305,0.2667502095973664,41.54690437208174,E3,1111,P_t+N_t+D_t+R_t
E3_subset_0000,osi_target_t24h,0.008372823768376926,0.0029248130640176667,28680,0.48607822648387855,0.003075882620338982,0.12131757109497565,42.62900976290098,E3,0000,none
E3_subset_0001,osi_target_t24h,0.008367389201949287,0.0029394899672500656,28680,0.48674515455584855,0.0031037905172532267,0.12133925926551027,42.22803347280335,E3,0001,R_t
E3_subset_0010,osi_target_t24h,0.008427468965045471,0.0028975747333636675,28680,0.4793481196250612,0.003039707670185168,0.12040147231819488,42.350069735006976,E3,0010,D_t
E3_subset_0011,osi_target_t24h,0.008421119947084938,0.002911829670131403,28680,0.4801323130690912,0.0030675036428089468,0.1204231604887295,41.95955369595537,E3,0011,D_t+R_t
E3_subset_0100,osi_target_t24h,0.008387932516673016,0.002871129564256513,28680,0.48422181086039673,0.0029706384907535817,0.12135099356356066,43.831938633193865,E3,0100,N_t
E3_subset_0101,osi_target_t24h,0.008381066772646068,0.002883936180628425,28680,0.485065821403175,0.0029977727009273423,0.12137268173409528,43.45188284518828,E3,0101,N_t+R_t
E3_subset_0110,osi_target_t24h,0.008445822239564228,0.0028440547300993277,28680,0.4770779072857755,0.002933306390956825,0.12043489478677989,43.68898186889819,E3,0110,N_t+D_t
E3_subset_0111,osi_target_t24h,0.008437924487959308,0.002857181613677351,28680,0.4780554267564856,0.0029605460117379215,0.12045658295731451,43.28800557880056,E3,0111,N_t+D_t+R_t
E3_subset_1000,osi_target_t24h,0.008482103968671507,0.0029599715551901625,28680,0.4725754992478305,0.0031128050667904696,0.12309004660399306,41.92817294281729,E3,1000,P_t
E3_subset_1001,osi_target_t24h,0.008476664067698713,0.0029763309061778607,28680,0.4732517977278047,0.0031425636646106305,0.12311173477452768,41.35634588563459,E3,1001,P_t+R_t
E3_subset_1010,osi_target_t24h,0.008573267169344988,0.0029431598427045584,28680,0.4611773626735318,0.003074363615760774,0.12217394782721229,42.601115760111576,E3,1010,P_t+D_t
E3_subset_1011,osi_target_t24h,0.008566960990401107,0.0029589216774897104,28680,0.46196974723675066,0.0031037033253767934,0.12219563599774691,42.036262203626215,E3,1011,P_t+D_t+R_t
E3_subset_1100,osi_target_t24h,0.008498159451451603,0.0029039492622626433,28680,0.4705769221339662,0.003004377274816002,0.12312346907257807,43.44839609483961,E3,1100,P_t+N_t
