model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E1_aligned,osi_target_t24h,0.01_0.05,0.014612064128688235,0.011430315653810343,1776,-1.1220994856629956,0.01183621426631847,0.07678069654676656,1.6328828828828827
E1_aligned,osi_target_t24h,ge_0.05,0.06524384957516266,0.052547152813808964,312,-2.0278226122958682,0.04268430700067401,0.13347403599068747,1.9230769230769231
E1_aligned,osi_target_t48h,lt_0.001,0.002165370413500078,0.0010543257785443293,17970,-113.53839441444936,0.001090202239312276,0.02171064058583226,58.73121869782971
E1_aligned,osi_target_t48h,0.001_0.01,0.004594572802828095,0.0030132723397888017,3828,-2.905142461665328,0.004459129646239372,0.030344875096241616,12.173458725182863
E1_aligned,osi_target_t48h,0.01_0.05,0.01501744142224928,0.011850788343160888,994,-1.2382254659967393,0.009369892817795327,0.04987669299113123,2.8169014084507045
E1_aligned,osi_target_t48h,ge_0.05,0.07919415505700102,0.06758686387212438,152,-2.0641214683688016,0.025849320338401927,0.05579837781892648,3.9473684210526314
E3_aligned,osi_target_t01h,lt_0.001,0.0024059149993688775,0.00119492662889039,23816,-131.29205816520965,0.0012416557185779948,0.03289436705940099,54.207255626469596
E3_aligned,osi_target_t01h,0.001_0.01,0.006112624445848705,0.00360736106582899,6769,-5.362232290816314,0.005669900345046264,0.0719099293097428,8.258236076229872
E3_aligned,osi_target_t01h,0.01_0.05,0.015522193114247608,0.011450922639456813,2641,-1.0776823304645484,0.016989791781426365,0.1433986081169032,0.9466111321469141
E3_aligned,osi_target_t01h,ge_0.05,0.06140885796033686,0.038884935239992834,951,0.25441741972556065,0.08544562631891288,0.28441276668246857,0.6309148264984227
E3_aligned,osi_target_t06h,lt_0.001,0.002412309487716838,0.0011978147183580967,23277,-132.2939227634143,0.001244882639481953,0.03289436705940099,54.08772608153972
E3_aligned,osi_target_t06h,0.001_0.01,0.006020416402385985,0.003582373174138469,6529,-5.220981343374627,0.0055901042477462795,0.0719099293097428,8.454587226221474
E3_aligned,osi_target_t06h,0.01_0.05,0.01535992916106435,0.01152533657164266,2435,-1.1262382284803802,0.015753598167888447,0.11307558588495185,1.0266940451745379
E3_aligned,osi_target_t06h,ge_0.05,0.058305390424876424,0.040633892037307384,741,0.0790689828128539,0.07651132909024097,0.27330678533015684,0.8097165991902834
E3_aligned,osi_target_t24h,lt_0.001,0.0023175030929160297,0.001187590245324101,21007,-122.68491735781969,0.0012351839045805395,0.021824117680202603,53.43932974722711
