model,horizon,severity,rmse,mae,n,r2,prediction_mean,prediction_max,prediction_zero_pct
E2_profile_huber_all,osi_target_t01h,lt_0.001,0.0027076866788788524,0.0011838549644028467,23816,-166.55987604728415,0.0012131503960454396,0.0674320776381229,63.55391333557272
E2_profile_huber_all,osi_target_t01h,0.001_0.01,0.0066549912403819494,0.0039624215743806,6769,-6.541349527461484,0.005920138533131578,0.0710348696180797,13.28113458413355
E2_profile_huber_all,osi_target_t01h,0.01_0.05,0.015496922153110902,0.011362107539848659,2641,-1.0709226814197947,0.017438233719805345,0.14056474527817714,2.6505111700113595
E2_profile_huber_all,osi_target_t01h,ge_0.05,0.06302635279140786,0.04005825104413003,951,0.21462320854567407,0.0845020676942669,0.30192190279859404,0.5257623554153523
E2_profile_huber_all,osi_target_t06h,lt_0.001,0.002686617531105532,0.0013047556965410365,23277,-164.33164543089285,0.0013472525818784941,0.033938849006492085,54.272457790952444
E2_profile_huber_all,osi_target_t06h,0.001_0.01,0.006287550047006363,0.003798748150192958,6529,-5.7852952221739224,0.005737805077354161,0.06271948200152111,11.425945780364527
E2_profile_huber_all,osi_target_t06h,0.01_0.05,0.01530205273760055,0.011644714198497148,2435,-1.1102450271200146,0.01558699706415163,0.11275689640407628,1.724845995893224
E2_profile_huber_all,osi_target_t06h,ge_0.05,0.05938308096882421,0.04128278923679751,741,0.04471020721949903,0.07588699271205696,0.26658980304577384,0.8097165991902834
E2_profile_huber_all,osi_target_t24h,lt_0.001,0.0024621466212103654,0.0013187800129110798,21007,-138.6059478847587,0.0013583001728577643,0.018917443289915844,54.776979102204024
E2_profile_huber_all,osi_target_t24h,0.001_0.01,0.004817481767862359,0.00328969068541459,5585,-3.0467196359202147,0.0049624772190014444,0.027284013787903037,11.656222023276634
E2_profile_huber_all,osi_target_t24h,0.01_0.05,0.015039654249839277,0.011861839055443364,1776,-1.2481138725081276,0.010913472698470346,0.08612191901671871,2.364864864864865
E2_profile_huber_all,osi_target_t24h,ge_0.05,0.06821486651167528,0.05552107471141484,312,-2.309857830367438,0.04012653440561837,0.12219748463502357,2.2435897435897436
E2_profile_huber_all,osi_target_t48h,lt_0.001,0.0020472925643266284,0.001039334345347504,17970,-101.3873993722626,0.0010751106391705424,0.020230235968428854,53.54479688369504
E2_profile_huber_all,osi_target_t48h,0.001_0.01,0.004205409363406256,0.0028390653192727922,3828,-2.2716223129940367,0.003818906908752597,0.02749892200753358,14.602925809822361
E2_profile_huber_all,osi_target_t48h,0.01_0.05,0.015802778003931463,0.01288333946007999,994,-1.4784423303609149,0.008295098365998075,0.052766575016795894,4.0241448692152915
E2_profile_huber_all,osi_target_t48h,ge_0.05,0.08027939886431666,0.06969430913690548,152,-2.148675770139125,0.023741875073620827,0.05569292893471417,4.605263157894736
E1_best_subset,osi_target_t01h,lt_0.001,0.0028882905659423485,0.001262880632280567,23816,-189.6579754910522,0.0012928982674837919,0.031075527582707964,65.29643936849176
E1_best_subset,osi_target_t01h,0.001_0.01,0.007116774557081874,0.004285785425984801,6769,-7.624233587085497,0.006289989867464195,0.08316709279023994,13.162948736888758
E1_best_subset,osi_target_t01h,0.01_0.05,0.015521206752205427,0.011279732110417327,2641,-1.0774182850608818,0.018086472582347978,0.13103649057639705,3.142748958727755
E1_best_subset,osi_target_t01h,ge_0.05,0.06143947332323544,0.038960546137305443,951,0.25367381458319993,0.08601431933816242,0.31542849066124673,0.7360672975814931
E1_best_subset,osi_target_t06h,lt_0.001,0.0026028622177710486,0.001175433914632134,23277,-154.1838985538565,0.0012071046625807527,0.030282782984748003,63.42312153628045
E1_best_subset,osi_target_t06h,0.001_0.01,0.006253176425593794,0.0038021057743988554,6529,-5.711308493875221,0.00564230786393006,0.06149903779896464,13.034155307091439
E1_best_subset,osi_target_t06h,0.01_0.05,0.01575312703468176,0.011745770212431388,2435,-1.2364904453357601,0.0157597097183334,0.11947992693395475,2.4640657084188913
E1_best_subset,osi_target_t06h,ge_0.05,0.05954961002350912,0.041827354521266985,741,0.039344821526181906,0.07550708571231436,0.257321594928204,0.8097165991902834
E1_best_subset,osi_target_t24h,lt_0.001,0.002489798713266623,0.0013110106828332002,21007,-141.75935420821912,0.0013500928935248743,0.023045823117603788,54.762698148236296
E1_best_subset,osi_target_t24h,0.001_0.01,0.005071517238780394,0.003355779057095734,5585,-3.484755482002379,0.005033494639255424,0.03067510823567188,10.313339301700983
E1_best_subset,osi_target_t24h,0.01_0.05,0.015147367690720046,0.012025255506719373,1776,-1.2804310014437172,0.010827167542810285,0.09168923731162344,1.9707207207207207
E1_best_subset,osi_target_t24h,ge_0.05,0.06521433736280162,0.05336143598562151,312,-2.0250840389407734,0.042447949817719786,0.12134283903376612,2.2435897435897436
E1_best_subset,osi_target_t48h,lt_0.001,0.002177885822680803,0.0010693296253892258,17970,-114.86623885278583,0.0011013997422506614,0.023219363614455778,55.93767390094602
E1_best_subset,osi_target_t48h,0.001_0.01,0.004468239747469385,0.0029718707944266683,3828,-2.693342145588022,0.004030563016582492,0.028798496208164746,13.531870428422152
E1_best_subset,osi_target_t48h,0.01_0.05,0.015615001144825568,0.012595700858493472,994,-1.4198919807684756,0.008781555065043996,0.05932703489780576,4.7283702213279675
E1_best_subset,osi_target_t48h,ge_0.05,0.07774564297472468,0.0668440347819548,152,-1.953057054248962,0.026592149428571524,0.06225349433347234,3.9473684210526314
E3_best_subset,osi_target_t01h,lt_0.001,0.002631392922409778,0.001180163687975647,23816,-157.25032777189264,0.001206847429997817,0.04015192452403085,64.1165602955996
E3_best_subset,osi_target_t01h,0.001_0.01,0.006750283742788624,0.004015252566860175,6769,-6.758864197379846,0.005939382556002026,0.077171551052626,14.078889053035898
E3_best_subset,osi_target_t01h,0.01_0.05,0.015812762750636762,0.0115207323197125,2641,-1.1561972697328313,0.01763126757602041,0.1433986081169032,2.9912911775842486
E3_best_subset,osi_target_t01h,ge_0.05,0.06202242369208108,0.03913048112393236,951,0.2394440328609414,0.08525447596192523,0.28441276668246857,0.5257623554153523
E3_best_subset,osi_target_t06h,lt_0.001,0.0025827034558946645,0.0011748650952517466,23277,-151.78945671220657,0.0012078160769074585,0.030983149374661376,62.58108862825965
E3_best_subset,osi_target_t06h,0.001_0.01,0.00627299316039037,0.0037843313440957516,6529,-5.753913067442034,0.005686083516363789,0.066850590234942,12.605299433297596
E3_best_subset,osi_target_t06h,0.01_0.05,0.015436380685060251,0.011587928720047934,2435,-1.1474569065787534,0.015802705032263626,0.11015645273965613,2.0944558521560577
E3_best_subset,osi_target_t06h,ge_0.05,0.05919476260646708,0.04113636700374004,741,0.05075951806842338,0.07627182777409429,0.2625449995059635,0.8097165991902834
E3_best_subset,osi_target_t24h,lt_0.001,0.002491523767191664,0.001310833733709629,21007,-141.95724401842304,0.0013501253983928296,0.02306116629127925,54.71509496834388
E3_best_subset,osi_target_t24h,0.001_0.01,0.005084472778309406,0.0033632676742963914,5585,-3.507697981261839,0.00503808810463227,0.030681869866458426,10.295434198746642
E3_best_subset,osi_target_t24h,0.01_0.05,0.015141868089462617,0.01201747228072753,1776,-1.2787753758953517,0.010845728967040289,0.09217255931279836,1.9707207207207207
E3_best_subset,osi_target_t24h,ge_0.05,0.06519193907081643,0.05333656181146239,312,-2.023006425870419,0.04248362525945379,0.12133925926551027,2.2435897435897436
E3_best_subset,osi_target_t48h,lt_0.001,0.002177642772871676,0.0010680731855306875,17970,-114.84037919057583,0.001100109913410487,0.023148336734872738,56.021146355036166
E3_best_subset,osi_target_t48h,0.001_0.01,0.004468283098579011,0.0029711832002331925,3828,-2.693413811955983,0.004030026155258763,0.028835575400637036,13.479623824451412
E3_best_subset,osi_target_t48h,0.01_0.05,0.015615345379840814,0.012596535888697672,994,-1.4199986756994716,0.008782586908179506,0.05940211912926474,4.7283702213279675
E3_best_subset,osi_target_t48h,ge_0.05,0.07772333604697926,0.0668160883874958,152,-1.9513627038642087,0.026620095823030532,0.062368074966302915,3.9473684210526314
E1_aligned,osi_target_t01h,lt_0.001,0.002468191685164728,0.0012013644172266926,23816,-138.2294102597489,0.0012463887706025743,0.023488873164060516,56.7979509573396
E1_aligned,osi_target_t01h,0.001_0.01,0.006161790517088896,0.003696059525503599,6769,-5.464991416675474,0.0057466734329271844,0.0722631338754168,8.89348500517063
E1_aligned,osi_target_t01h,0.01_0.05,0.015430213981061218,0.01142115211675139,2641,-1.0531320350139532,0.017067699443382676,0.13103649057639705,1.1737978038621735
E1_aligned,osi_target_t01h,ge_0.05,0.061342987139821475,0.03916048103862814,951,0.2560160749569056,0.08530943581548611,0.31542849066124673,0.6309148264984227
E1_aligned,osi_target_t06h,lt_0.001,0.002468387877855698,0.0012003800262061074,23277,-138.5632612224307,0.0012457552893413914,0.023488873164060516,56.678266099583276
E1_aligned,osi_target_t06h,0.001_0.01,0.006086077248602173,0.003668633015432266,6529,-5.357417881846001,0.005676371251237944,0.0722631338754168,9.05192219329147
E1_aligned,osi_target_t06h,0.01_0.05,0.015405550756421624,0.011552619431836261,2435,-1.138887562450177,0.015909796367161326,0.11494415295957387,1.273100616016427
E1_aligned,osi_target_t06h,ge_0.05,0.05833886079925663,0.04088715491672951,741,0.07801135321894748,0.07646426431373175,0.28078105475604925,0.8097165991902834
E1_aligned,osi_target_t24h,lt_0.001,0.0024049934191717813,0.0011893962019562472,21007,-132.19989517771916,0.0012351333371968813,0.02171064058583226,56.27647926881516
E1_aligned,osi_target_t24h,0.001_0.01,0.005308398337849395,0.0034647070251545187,5585,-3.913488753581765,0.005386335068548595,0.03765240907454622,9.042076991942704
