split_seed,horizon,fipsCode,countyName,stateAbbr,fold,N_sse,N_weighted_sse,N_signed_allocation,OSI_sse,oracle_N_sse_reduction
20260917,1,18113,Noble County,IN,4,3.4930484765134846e-05,4.278984383729019e-06,1.4303912620419014e-05,0.00014064271921073932,2.7217136988675663e-05
20260917,1,18117,Orange County,IN,4,0.011364901674977874,0.0013922004551847893,0.004675456123564104,0.02264942631263605,0.007974396140819727
20260917,1,18121,Parke County,IN,2,0.005881082831350266,0.0007204326468404074,0.003713651753939711,0.06854015105605848,0.006719836632220221
20260917,1,18123,Perry County,IN,2,0.0018021932487896281,0.0002207686729767294,0.0007709991137580793,0.0033066626810646198,0.0013216985919413638
20260917,1,18125,Pike County,IN,0,0.0006447340411543383,7.897992004140641e-05,0.00031761135091807154,0.001845187870504695,0.0005589076899566407
20260917,1,18127,Porter County,IN,3,3.8560330970998285e-05,4.723640543947289e-06,5.807467046595095e-05,0.0011569526519317024,0.0001116111545483613
20260917,1,18129,Posey County,IN,1,0.0002225486920933204,2.7262214781431746e-05,2.3219372371513343e-05,0.00034314461192251475,1.8873391416120538e-05
20260917,1,18131,Pulaski County,IN,0,0.010130309603463046,0.0012409629264242231,0.004974925270056906,0.04541708608565763,0.008713237341534985
20260917,1,18133,Putnam County,IN,1,0.0001325283982710388,1.6234728788202252e-05,5.333310355319664e-05,0.0003689468618486247,8.31449891832801e-05
20260917,1,18135,Randolph County,IN,2,6.55802294572359e-05,8.033578108511396e-06,4.567411395558269e-05,0.001505142654126353,9.429139282770996e-05
20260917,1,18137,Ripley County,IN,4,0.0003857552217510532,4.7255014664504014e-05,9.171583503247727e-05,0.0020265211368690793,0.00013520029449712637
20260917,1,18139,Rush County,IN,2,0.0012647997043873011,0.0001549379637874444,0.00029283204675800435,0.0012684451969686872,0.0004350699335075741
20260917,1,18141,St. Joseph County,IN,4,4.272682559590066e-05,5.234036135497831e-06,1.6673364545809573e-05,0.0002671475029249999,3.023186682356369e-05
20260917,1,18143,Scott County,IN,1,0.0002769076951664372,3.392119265788855e-05,4.6419529050613035e-05,0.0018949724083954964,4.184348711281952e-05
20260917,1,18145,Shelby County,IN,2,9.841941913796185e-05,1.2056378844400327e-05,3.7518260664542186e-05,0.0002656252434279125,6.961424183945339e-05
20260917,1,18147,Spencer County,IN,0,0.0003157214470921596,3.867587726878956e-05,9.834184985706466e-05,0.0004250182008403369,0.0001594920194937771
20260917,1,18149,Starke County,IN,4,0.0001847313653832596,2.2629592259449298e-05,6.255659986255705e-05,0.0006487239362953765,0.00010370908908362763
20260917,1,18151,Steuben County,IN,4,0.001294624180835774,0.0001585914621523823,0.00120559699823101,0.018372880129058817,0.0022524133230999903
20260917,1,18153,Sullivan County,IN,1,0.00018260164780543623,2.2368701856165932e-05,0.00011562968857369856,0.0009014139770284637,0.000211434002645928
20260917,1,18155,Switzerland County,IN,1,0.0007120151645703094,8.722185765986289e-05,0.0003910948790166151,0.002278210720821586,0.0006960306692732967
20260917,1,18157,Tippecanoe County,IN,3,1.443137705676757e-05,1.767843689454027e-06,1.3501911424445508e-05,0.00016565714058857219,2.640489345605623e-05
20260917,1,18159,Tipton County,IN,3,0.002229985673821515,0.00027317324504313556,0.0006354833210224161,0.002364517646966,0.0010001251423825516
20260917,1,18161,Union County,IN,0,0.0003407291055341225,4.173931542792999e-05,0.00017363976569827427,0.0008196562815337969,0.00030939180012229427
20260917,1,18163,Vanderburgh County,IN,0,7.547290692813123e-05,9.245431098696073e-06,2.453779418306345e-05,0.00012758615913076036,4.218855007705481e-05
20260917,1,18165,Vermillion County,IN,2,0.012641632398249314,0.0015485999687855406,0.005588061029353586,0.027062320093051387,0.009631808719374309
20260917,1,18167,Vigo County,IN,0,0.0001712742343905417,2.098109371284136e-05,5.8453900228170245e-05,0.0003071387159926068,9.769768286551244e-05
20260917,1,18169,Wabash County,IN,4,0.00010221457118025528,1.252128496958127e-05,5.485997142348724e-05,0.00031751960536881914,0.00011135244254870667
20260917,1,18171,Warren County,IN,2,0.0011253602984126233,0.00013785663655554637,0.00038467995261099315,0.0020950473442694186,0.0006344422130674139
20260917,1,18173,Warrick County,IN,1,0.00014902066796990566,1.825503182631344e-05,3.63067540659935e-05,0.0002937232956746925,5.5195727284773064e-05
20260917,1,18175,Washington County,IN,2,0.00038932067909948104,4.769178318968642e-05,8.950927304204858e-05,0.0013658275343949196,0.0001333773098718108
20260917,1,18177,Wayne County,IN,2,0.00013153883812998572,1.611350767092325e-05,0.00010192955938154691,0.0010860164315278586,0.00019050774357761175
20260917,1,18179,Wells County,IN,0,0.001043642001765716,0.0001278461452163002,0.0004380417809764479,0.003186970677503539,0.0007490129065156836
20260917,1,18181,White County,IN,3,0.00018763916510009389,2.2985797724761496e-05,9.775938360059722e-05,0.0007020879982762127,0.00018301159322965888
20260917,1,18183,Whitley County,IN,2,0.0005631586706656696,6.898693715654451e-05,0.000224376490178835,0.001071304812756346,0.00038464031069919386
20260917,1,39017,Butler County,OH,3,2.599086684002761e-05,3.1838811879033824e-06,9.849527422085152e-06,9.001138409754444e-05,1.7919308445433893e-05
