split_seed,horizon,scenario,group_type,group,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,1,O_N_all,county,18183,18183,Whitley County,IN,2.0,143,0.002191312315653643,0.000719237523683767,0.0006866645020571523,0.00019245623258051428,0.0027370864157434224,-0.0005457741000897795,-19.939965978076046,0.0003846403106991938
20260917,1,O_N_all,county,39017,39017,Butler County,OH,3.0,143,0.0007100284425117054,0.00026937469194989415,7.209207565211054e-05,-0.00010012700328472633,0.0007933790005062943,-8.335055799458895e-05,-10.50576810596182,1.7919308445433897e-05
20260917,1,O_N_all,county,39023,39023,Clark County,OH,1.0,143,0.0033024851641132212,0.0016596047519320915,0.0015596163810638738,0.0010692302584891086,0.003339594792691972,-3.7109628578750695e-05,-1.111201534388473,3.524737218679871e-05
20260917,1,O_N_all,county,39025,39025,Clermont County,OH,4.0,143,0.0014349735591531133,0.000489092728654597,0.00029445832351200304,-0.000184751545463289,0.0018205769301903566,-0.00038560337103724323,-21.180284372653514,0.00017951522778800888
20260917,1,O_N_all,county,39027,39027,Clinton County,OH,4.0,143,0.0013660004508911894,0.0006724636825770042,0.0002668318841523954,0.00022995799783281248,0.001435084646302295,-6.908419541110556e-05,-4.813945685302334,2.7672031561124118e-05
20260917,1,O_N_all,county,39029,39029,Columbiana County,OH,1.0,143,0.009737953798051112,0.005548812106585625,0.013560367416735865,0.005122010225813379,0.00988591456505607,-0.0001479607670049586,-1.496682639034308,0.0004152094538891829
20260917,1,O_N_all,county,39031,39031,Coshocton County,OH,2.0,143,0.008609435899663282,0.006037882984653136,0.010599501270988756,0.004524990500704121,0.00864703066420574,-3.7594764542459025e-05,-0.43477080170516436,9.277165001439665e-05
20260917,1,O_N_all,county,39033,39033,Crawford County,OH,2.0,143,0.005423861198198155,0.002503623078879198,0.0042068126525166925,-0.0008640453911122582,0.005555962331583382,-0.0001321011333852264,-2.3776463104201673,0.0002074139399695094
20260917,1,O_N_all,county,39035,39035,Cuyahoga County,OH,0.0,143,0.00550174643958621,0.003657160014858273,0.004328497585626433,-0.003657160014858273,0.005675036459693649,-0.0001732900201074387,-3.053549018375701,0.00027696596546943585
20260917,1,O_N_all,county,39037,39037,Darke County,OH,1.0,143,0.0013016130021734535,0.0007888319849459223,0.0002422700862620597,0.0007028481235161251,0.0014464420840961108,-0.0001448290819226572,-10.01278125927605,5.691375621607526e-05
20260917,1,O_N_all,county,39039,39039,Defiance County,OH,0.0,143,0.008900794918732169,0.0047904301045518655,0.011329053476501962,-0.00459030174782072,0.00897310864584139,-7.231372710922099e-05,-0.8058938096412671,0.0001848315876185492
20260917,1,O_N_all,county,39045,39045,Fairfield County,OH,0.0,143,0.0038079109788185807,0.0022708506374636253,0.0020735266012328127,0.0013698241227257783,0.003864763021564114,-5.685204274553327e-05,-1.4710356735540442,6.237762820464864e-05
20260917,1,O_N_all,county,39049,39049,Franklin County,OH,2.0,143,0.004666965891138181,0.0025871650235294707,0.0031146215999537496,-0.0006966484605525818,0.004647732620369794,1.9233270768387323e-05,0.4138205086087199,-2.5618752959474973e-05
20260917,1,O_N_all,county,39051,39051,Fulton County,OH,4.0,143,0.003321338029180145,0.001830035182879627,0.0015774739414831892,-0.0008644067959521696,0.00338364183257908,-6.230380339893515e-05,-1.8413238304080815,5.973764183542381e-05
20260917,1,O_N_all,county,39053,39053,Gallia County,OH,0.0,143,0.002389993453388555,0.0008326749257739644,0.0008168258251353419,-0.0005267422614268791,0.002731504368544678,-0.0003415109151561229,-12.5026677273109,0.0002501137793638062
20260917,1,O_N_all,county,39055,39055,Geauga County,OH,4.0,143,0.0110071649519973,0.005182900625337528,0.01732554828010833,-0.00277164389624114,0.012274558766386216,-0.001267393814388916,-10.32537167738904,0.0042195171059457165
20260917,1,O_N_all,county,39059,39059,Guernsey County,OH,1.0,143,0.021774838178486775,0.012728533959772746,0.06780253161099777,-0.012126040767537715,0.02165574886517225,0.00011908931331452641,0.5499200884530486,-0.0007396129866662771
20260917,1,O_N_all,county,39061,39061,Hamilton County,OH,1.0,143,0.0009223726044263133,0.00041709360667628104,0.00012166028465965388,0.00026464605422872855,0.0011140000582118982,-0.00019162745378558483,-17.201745401447244,5.5802161886890224e-05
20260917,1,O_N_all,county,39063,39063,Hancock County,OH,1.0,143,0.00178982632357031,0.0010980974208021177,0.00045809739240196533,0.0010343934891111947,0.0019059335425723808,-0.00011610721900207066,-6.091881821092471,6.136192922249329e-05
20260917,1,O_N_all,county,39065,39065,Hardin County,OH,0.0,143,0.002525117493940514,0.0011915899434529374,0.0009117992252232321,0.00010500106868736928,0.002658975847119715,-0.00013385835317920132,-5.0342071863571425,9.923259022270642e-05
20260917,1,O_N_all,county,39069,39069,Henry County,OH,0.0,143,0.002802556146640721,0.0015205955312883185,0.0011231678965755371,-0.0014536912688192635,0.003085631222738787,-0.00028307507609806604,-9.173976268194817,0.00023835226953634945
20260917,1,O_N_all,county,39073,39073,Hocking County,OH,3.0,143,0.002308254588610931,0.0016354846474626564,0.0007619096121556089,0.00011761282358473367,0.0023669125426984627,-5.865795408753179e-05,-2.4782476339686443,3.9215710668403353e-05
20260917,1,O_N_all,county,39075,39075,Holmes County,OH,0.0,143,0.009427439700731033,0.005186383827277904,0.012709356561461509,-0.002143377901499096,0.009321225471710912,0.00010621422902012088,1.139487821021734,-0.0002847666273519643
